id,country,Source
92,PL,AKADEMIA MUZYCZNA IMIENIA KAROLA LIPINSKIEGO WE WROCLAWIU
93,PL,AKADEMIA MUZYCZNA W KRAKOWIE
94,SK,AKADEMIA OZBROJENYCH SIL GENERALA MILANA RASTISLAVA STEFANIKA
95,PL,AKADEMIA PEDAGOGIKI SPECJALNEJ IM. MARII GRZEGORZEWSKIEJ
96,PL,AKADEMIA PEDAGOGIKI SPECJALNEJ IM.MARII GRZEGORZEWSKIEJ
97,SK,AKADEMIA POLICAJNEHO ZBORU V BRATISLAVE
98,PL,AKADEMIA POLONIJNA W CZESTOCHOWIE
99,PL,AKADEMIA POMORSKA W SLUPSKU
100,PL,AKADEMIA SZTUK PIEKNYCH IM JANA MATEJKI W KRAKOWIE
101,PL,AKADEMIA SZTUK PIEKNYCH IM. WLADYSLAWA STRZEMINSKIEGO W LODZI
102,PL,AKADEMIA SZTUK PIEKNYCH IM.E.GEPPERTA WE WROCLAWIU
103,PL,AKADEMIA SZTUK PIEKNYCH W GDANSKU
104,PL,AKADEMIA SZTUK PIEKNYCH W KATOWICACH
105,PL,AKADEMIA SZTUK PIEKNYCH W WARSZAWIE
106,PL,AKADEMIA SZTUK TEATRALNYCH IM. STANISLAWA WYSPIANSKIEGO W KRAKOWIE
107,PL,AKADEMIA SZTUKI W SZCZECINIE
108,PL,AKADEMIA SZTUKI WOJENNEJ
109,PL,AKADEMIA TEATRALNA IM. ALEKSANDRA ZELWEROWICZA W WARSZAWIE
110,PL,AKADEMIA TECHNICZNO-HUMANISTYCZNA W BIELSKU-BIALEJ
111,SK,AKADEMIA UMENI V BANSKEJ BYSTRICI
112,PL,AKADEMIA WOJSK LADOWYCH IMIENIA GENERALA TADEUSZA KOSCIUSZKI
113,PL,AKADEMIA WSB
114,PL,AKADEMIA WYCHOWANIA FIZYCZNEGO I SPORTU IM JEDRZEJA SNIADECKIEGO W GDANSKU OLIWIE
115,PL,AKADEMIA WYCHOWANIA FIZYCZNEGO IM EUGENIUSZA PIASECKIEGO
116,PL,AKADEMIA WYCHOWANIA FIZYCZNEGO IM. BRONISLAWA CZECHA W KRAKOWIE
117,PL,AKADEMIA WYCHOWANIA FIZYCZNEGO IM.JERZEGO KUKUCZKI W KATOWICACH
118,PL,AKADEMIA WYCHOWANIA FIZYCZNEGO JOZEFA PILSUDSKIEGO W WARSZAWIE
119,PL,AKADEMIA WYCHOWANIA FIZYCZNEGO WE WROCLAWIU
120,AT,AKADEMIE DER BILDENDEN KUNSTE WIEN
121,DE,AKADEMIE DER BILDENDEN KÜNSTE MÜNCHEN
122,DE,AKADEMIE DER BILDENDEN KÜNSTE NÜRNBERG
123,CZ,AKADEMIE MUZICKYCH UMENI V PRAZE
124,CZ,"AKADEMIE STING, O.P.S."
125,CZ,AKADEMIE VYTVARNYCH UMENI V PRAZE
126,BG,"AKADEMIYA ZA MUZIKALNO, TANTZOVO I IZOBRAZITELNO IZKUSTVO ""PROF. ASEN DIAMANDIEV""  PLOVDIV"
127,BG,"AKADEMIYA ZA MUZIKALNO, TANTZOVO I IZOBRAZITELNO IZKUSTVO PLOVDIV"
128,GE,AKAKI TSERETELI STATE UNIVERSITY
129,TR,AKDENIZ UNIVERSITY
130,TR,AKSARAY UNIVERSITESI
131,TR,AKSARAY UNIVERSITY
132,MA,AL AKHAWAYN UNIVERSITY IN IFRANE
133,SY,AL BAATH UNIVERSITY
134,SD,AL NEELAIN UNIVERSITY
135,EG,AL-AZHAR UNIVERSITY
136,JO,AL-BALQA APPLIED UNIVERSITY
137,JO,AL-BALQA' APPLIED UNIVERSITY
138,KZ,AL-FARABI KAZAKH NATIONAL UNIVERSITY
139,JO,AL-HUSSEIN BIN TALAL UNIVERSITY
140,PS,AL-ISTIQLAL UNIVERSITY
141,PS,AL-QUDS OPEN UNIVERSITY
142,PS,AL-QUDS UNIVERSITY
143,SY,AL-WATANIYA PRIVATE UNIVERSITY
144,UZ,AL-XORAZMIY NOMLI URGANCH DAVLAT UNIVERSITETI
145,DE,ALANUS HOCHSCHULE GGMBH
146,TR,ALANYA ALAADDIN KEYKUBAT UNIVERSITY
