id,country,Source
1038,RU,FEDERAL STATE BUDGET EDUCATIONAL INSTITUTION OF HIGHER EDUCATION MICHURINSK STATE AGRICULTURAL UNIVERSITY
1039,RU,FEDERAL STATE BUDGET EDUCATIONAL INSTITUTION OF HIGHER EDUCATION SAINTPETERSBURG STATE ECONOMIC UNIVERSITY
1040,RU,FEDERAL STATE BUDGET EDUCATIONAL INSTITUTION OF HIGHER EDUCATION VLADIVOSTOK STATE UNIVERSITY OF ECONOMICS AND SERVICE
1041,RU,"FEDERAL STATE BUDGET EDUCATIONAL INSTITUTION OF HIGHER VOCATIONAL EDUCATION ""SAMARA STATE TECHNICAL UNIVERSITY"""
1042,RU,"FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUITION OF HIGHER PROFESSIONAL EDUCATION ""PYATIGORSK STATE LINGUISTIC UNIVERSITY"""
1043,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF  HIGHER EDUCATION SAINT-PETERSBURG STATE AGRARIAN UNIVERSITY
1044,RU,"FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION ""KHABAROVSK STATE UNIVERSITY OF ECONOMICS AND LAW"""
1045,RU,"FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION ""PERM STATE AGRO-TECHNOLOGICAL UNIVERSITY NAMED AFTER ACADEMICIAN D.N. PRIANISHNIKOV"""
1046,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION ASTRAKHAN STATE UNIVERSITY
1047,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION M.I. PLATOV SOUTH-RUSSIAN STATE POLITECHNIC UNIVERSITY NPI
1048,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION NOSOV MAGNITOGORSK STATE TECHNICAL UNIVERSITY
1049,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION OF SOUTHWEST STATE UNIVERSITY
1050,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION PIROGOV RUSSIAN NATIONAL RESEARCH MEDICAL UNIVERSITY OF THE MINISTRY OF HEALTHCARE OF THE RUSSIAN FEDERATION
1051,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER EDUCATION YAROSLAV-THE-WISE NOVGOROD STATE UNIVERSITY
1052,RU,"FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION  ""UKHTA STATE TECHNICAL UNIVERSITY"""
1053,RU,"FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION ""KALASHNIKOV IZHEVSK STATE TECHNICAL UNIVERSITY"""
1054,RU,"FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION ""LIPETSK STATE TECHNICAL UNIVERSITY"""
1055,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION ASTRAKHAN STATE UNIVERSITY
1056,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION TYUMEN STATE UNIVERSITY
1057,RU,FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCTAION STATE UNIVERSITY OF MANAGEMENT
1058,RU,FEDERAL STATE BUDGETARY EDUCATIONALINSTITUTION OF HIGHER EDUCATION PYATIGORSK STATE UNIVERSITY
1059,RU,FEDERAL STATE BUDGETARY EDUCATIONALINSTITUTION OF HIGHER VOCATIONAL EDUCATION GUBKIN RUSSIAN STATE UNIVERSITY OF OIL AND GAS
1060,RU,FEDERAL STATE EDUCATIONAL ESTABLISHMENT OF HIGHER PROFESSIONAL EDUCATION RUSSIAN STATE AGRARIAN UNIVERSITY-MOSCOW TIMIRYAZEV AGRICULTURAL ACADEMY
1061,RU,FEDERAL STATE EDUCATIONAL INSTITUTION OF HIGHER EDUCATION SAINT PETERSBURG STIEGLITZ STATE ACADEMY OF ART AND DESIGN
1062,RU,FEDERAL STATE FUNDED EDUCATIONAL INSTITUTION OF HIGHER EDUCATION URAL STATE ECONOMIC UNIVERSITY
1063,RU,FEDERAL STATE INSTITUTION OF HIGHER EDUCATION MOSCOW STATE UNIVERSITY OF CIVIL ENGINEERING (NATIONAL RESEARCH UNIVERSITY)
1064,RU,FEDERAL STATE INSTITUTION OF HIGHER EDUCATION URAL STATE FORESTRY ENGINEERING UNIVERSITY
1065,RU,"FEDERAL STATE STATE-FINANCED EDUCATIONAL INSTITUTION OF HIGHER PROFESSIONAL EDUCATION ""SOUTH URAL STATE UNIVERSITY"" (NATIONAL RESEARCH UNIVERSITY)"
1066,RU,FEDERALNOE GOSUDARSTVENNOE BIUDZHETNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO PROFESSIONALNOGO OBRAZOVANIIA MOSCOW STATE UNIVERSITY OF CIVIL ENGINEERING
1067,UA,FERENC RAKOCZI II TRANSCARPATHIAN HUNGARIAN COLLEGE OF HIGHER EDUCATION
1068,UA,FERENC RÁKÓCZI II TRANSCARPATHIAN HUNGARIAN INSTITUTE
1069,IN,"FERGUSSON COLLEGE (AUTONOMOUS), PUNE"
1070,DE,FERNUNIVERSITAT IN HAGEN
1071,RU,FGBOU VPO MGHPA STROGANOV MOSCOW STATE ACADEMY OF DESIGN AND APPLIED ARTS
1072,AT,FH JOANNEUM GESELLSCHAFT MBH
1073,AT,FH OO STUDIENBETRIEBS GMBH
1074,AT,"FH-CAMPUS WIEN - VEREIN ZUR FORDERUNG DES FACHHOCHSCHUL-, ENTWICKLUNGS- UND FORSCHUNGSZENTRUMS IM SUDEN WIENS"
1075,AT,FHS KUFSTEIN TIROL BILDUNGS GMBH
1076,CZ,"FILMOVA AKADEMIE MIROSLAVA ONDRICKA V PISKU, O.P.S."
1077,DE,FILMUNIVERSITÄT BABELSBERG KONRAD WOLF
1078,RU,FINANCIAL UNIVERSITY UNDER THE GOVERNMENT OF THE RUSSIAN FEDERATION
1079,RU,FINANSOVIY UNIVERSITET PRI PRAVITELSTVE ROSSIYSKOY FEDERACII
1080,IT,FINE ARTS ACADEMY OF VENICE
1081,TR,FIRAT UNIVERSITESI
1082,PS,FIRST RAMALLAH GROUP ASSOCIATION
1083,CA,FLEMING COLLEGE
1084,ES,FLORIDA CENTRE DE FORMACION SOCIEDAD COOPERATIVA
1085,US,FLORIDA INTERNATIONAL UNIVERSITY
1086,DE,FOLKWANG UNIVERSITÄT DER KÜNSTE
1087,DE,FOM HOCHSCHULE FÜR OEKONOMIE &  MANAGEMENT GEMEINNÜTZIGE GMBH
1088,BF,FONDATION 2IE ASSOCIATION
1089,FR,FONDATION ECAM
1090,FR,FONDATION LA MACHE
1091,TN,FONDATION UNIVERSITAIRE  BOUEBDELLI
1092,IT,"FONDAZIONE ACCADEMIA DI BELLE ARTI ""P. VANNUCCI"""
1093,IT,FONDAZIONE ACCADEMIA DI BELLE ARTI DI VERONA
1094,IT,FONDAZIONE ISTITUTO TECNICO SUPERIORE PER LE NUOVE TECNOLOGIE PER IL MADE IN ITALY - JOBSACADEMY
1095,IT,FONDAZIONE SCUOLA DI MUSICA DI FIESOLE ONLUS
1096,IT,FONDAZIONE SCUOLE CIVICHE DI MILANO
1097,IT,FONDAZIONE UNICAMPUS SAN PELLEGRINO
1098,VN,FOREIGN TRADE UNIVERSITY
1099,ES,FORMATIC BARNA SA
1100,SE,FORSVARSHOGSKOLAN
1101,BY,FRANCISK SKORINA GOMEL STATE UNIVERSITY
1102,DE,FRANKFURT SCHOOL OF FINANCE & MANAGEMENT GEMEINNUTZIGE GMBH
1103,DE,FRANKFURT UNIVERSITY OF APPLIED SCIENCES
1104,GE,FREE UNIVERSITY OF TBILISI
1105,DE,FREIE UNIVERSITAET BERLIN
1106,DE,FREMDSPRACHENINSTITUT LHM - FACHAKADEMIE FÜR ÜBERSETZEN UND DOLMETSCHEN
1107,VN,FRENCH-VIETNAMESE CENTER FOR MANAGEMENT EDUCATION
1108,DE,FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN NUERNBERG
1109,DE,FRIEDRICH-ALEXANDER-UNIVERSITÄT ERLANGEN-NÜRNBERG
1110,DE,FRIEDRICH-SCHILLER-UNIVERSITAT JENA
1111,CN,FUDAN UNIVERSITY
1112,CN,FUJIAN NORMAL UNIVERSITY
1113,US,FULLER THEOLOGICAL SEMINARY
1114,BR,FUNDACAO GETULIO VARGAS
1115,BR,FUNDACAO UNIVERSIDADE DE BRASILIA
1116,ES,FUNDACIO PER A LA UNIVERSITAT OBERTA DE CATALUNYA
1117,ES,FUNDACIO PRIVADA PER A L'ESCOLA SUPERIOR DE MUSICA DE CATALUNYA
1118,ES,FUNDACIO TECNOCAMPUS MATARO-MARESME
1119,ES,FUNDACIO UNIVERSITARIA BALMES
1120,GT,FUNDACION DE LA UNIVERSIDAD DEL VALLE DE GUATEMALA
1121,ES,FUNDACION UNIVERSIDAD CATOLICA DE VALENCIA SAN VICENTE MARTIR
1122,AR,FUNDACION UNIVERSIDAD DE CIENCIAS EMPRESARIALES Y SOCIALES
1123,MX,FUNDACION UNIVERSIDAD DE LAS AMERICAS PUEBLA
1124,AR,FUNDACION UNIVERSIDAD DE SAN ANDRES
1125,CO,FUNDACION UNIVERSIDAD DEL NORTE
1126,ES,FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA
1127,ES,FUNDACION UNIVERSIDAD LOYOLA ANDALUCIA
1128,ES,FUNDACION UNIVERSIDAD SAN JORGE
1129,ES,FUNDACION UNIVERSITARIA SAN ANTONIO
1130,ES,FUNDACION UNIVERSITARIA SAN PABLO-CEU
1131,ES,FUNDACION UNIVERSITARIA SAN PABLO-CEU - UNIVERSIDAD CEU CARDENAL HERRERA
1132,ES,FUNDACIÓ CONSERVATORI DEL LICEU
1133,ES,FUNDACIÓ PER ALS ESTUDIS DE MÚSICA I ARTS ESCÈNIQUES DE LES  ILLES BALEARS - ESCOLA SUPERIOR D'ART DRAMÀTIC DE LES ILLES BALEARS
1134,ES,FUNDACIÓ PRIVADA TALLER DE MÚSICS
1135,ES,FUNDACIÓ PRIVADA UNIVERSITAT ABAT OLIBA CEU
1136,ES,FUNDACIÓN JESUITAS EDUCACIÓN/FUNDACIÓ JESUÏTES EDUCACIÓ
1137,ES,FUNDACIÓN PARA LA ESCUELA SUPERIOR DE ARTE DRAMÁTICO DE LES ILLES BALEARS/FUNDACIÓ PER A L'ESCOLA SUPERIOR D'ART DRAMÀTIC DE LES ILLES BALEARS/FUNDACIÓN PARA LA ESCUELA SUPERIOR DE ARTE DRAMÁTICO DE LAS ISLAS BALEARES
1138,ES,FUNDACIÓN UNIVERSIDAD EUROPEA DEL ATLÁNTICO
1139,CO,FUNDACIÓN UNIVERSIDAD EXTERNADO DE COLOMBIA
1140,CO,FUNDACIÓN UNIVERSITARIA DE CIENCIAS DE LA SALUD
1141,PT,FUNDAÇÃO FERNANDO PESSOA-UNIVERSIDADE FERNANDO PESSOA
1142,PT,FUNDAÇÃO TERRAS DE SANTA MARIA DA FEIRA/ ISVOUGA
1143,DK,FUNEN ART ACADEMY
1144,EG,FUTURE UNIVERSITY IN EGYPT
1145,CN,FUZHOU UNIVERSITY
1146,TN,GABES UNIVERSITY
1147,"ID",GADJAH MADA UNIVERSITY
1148,"ID",GADJAH MADA UNIVERSITY LAW FACULTY
1149,HU,GAL FERENC FOISKOLA
1150,TR,GALATASARAY UNIVERSITY
1151,IE,GALWAY-MAYO INSTITUTE OF TECHNOLOGY
1152,AM,GAVAR STATE UNIVERSITY
1153,TR,GAZI UNIVERSITESI
1154,TR,GAZIANTEP UNIVERSITESI
1155,PL,GDANSKI UNIWERSYTET MEDYCZNY
1156,SI,GEA COLLEGE - FAKULTETA ZA PODJETNISTVO
1157,TR,GEBZE TEKNIK UNIVERSITESI
1158,MA,GEC MARRAKECH- ÉCOLE DE MANAGEMENT
1159,TR,GEDIK UNIVERSITY
1160,LT,GENEROLO JONO ZEMAICIO LIETUVOS KARO AKADEMIJA
1161,CN,GENGDAN INSTITUTE OF BEIJING UNIVERSITY OF TECHNOLOGY
1162,DE,GEORG-AUGUST-UNIVERSITAT GOTTINGENSTIFTUNG OFFENTLICHEN RECHTS
1163,US,GEORGIA INSTITUTE OF TECHNOLOGY
1164,US,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION INC
1165,GE,GEORGIAN INSTITUTE OF PUBLIC AFFAIR FOUNDATION
1166,GE,GEORGIAN INSTITUTE OF PUBLIC AFFAIRS
1167,GE,GEORGIAN TECHNICAL UNIVERSITY
1168,GE,GEORGIAN-EUROPEAN HIGHER EDUCATION INSTITUTION
1169,JO,GERMAN JORDANIAN UNIVERSITY
1170,EG,GERMAN UNIVERSITY IN CAIRO
1171,DE,GERMAN UNIVERSITY OF ADMINISTRATIVE SCIENCES
1172,NL,GERRIT RIETVELD ACADEMIE
1173,DE,GESELLSCHAFT FÜR PRAXISBEZOGENE FORSCHUNG UND WISSENSCHAFTLICHE LEHRE GGMBH
1174,RU,GGTU
1175,UK,GLYNDWR UNIVERSITY/PRIFYSGOL GLYNDWR
1176,SE,GOETEBORGS UNIVERSITET
1177,UK,GOLDSMITHS' COLLEGE
1178,PL,GORNOSLASKA WYZSZA SZKOLA HANDLOWA IM. WOJCIECHA KORFANTEGO
1179,DE,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAET HANNOVER
1180,RU,"GOU VPO ""CHECHENSKIY GOSUDARSTVENNIY UNIVERSITET"
1181,LV,GRAMATVEDIBAS UN FINASU KOLEDZA
1182,US,GRAND VALLEY STATE UNIVERSITY
1183,GE,GRIGOL ROBAKIDZE UNIVERSITY
1184,FR,GROUPE 3IL
1185,FR,GROUPE ECOLE SUPERIEURE COMMERCE RENNES
1186,FR,GROUPE ECOLE SUPÉRIEURE DU BOIS
1187,FR,GROUPE EDH
1188,FR,GROUPE ESAIP
1189,FR,GROUPE ESC CLERMONT - AUVERGNE
1190,FR,GROUPE ESC PAU - IFSAC IPC
1191,FR,GROUPE ESIEA
1192,FR,GROUPE ESSCA
1193,FR,GROUPE ICAM (INSTITUT CATHOLIQUE D'ARTS ET MÉTIERS)
1194,BE,GROUPE ICHEC - ISC SAINT-LOUIS - ISFSC
1195,FR,GROUPE KEDGE BUSINESS SCHOOL
1196,FR,GROUPE SUP DE CO MONTPELLIER
1197,CN,GUANGDONG PHARMACEUTICAL UNIVERSITY
1198,CN,GUANGDONG POLYTECHNIC NORMAL UNIVERSITY
1199,CN,GUANGDONG UNIVERSITY OF FOREIGN STUDIES
1200,UK,GUILDHALL SCHOOL OF MUSIC AND DRAMA
1201,UZ,GULISTAN STATE UNIVERSITY
1202,TR,GUMUSHANE UNIVERSITY
1203,AT,GUSTAV MAHLER PRIVATUNIVERSITÄT FÜR MUSIK
1204,KR,GYEONGIN NATIONAL UNIVERSITY OF EDUCATION
1205,SE,GYMNASTIK- OCH IDROTTSHÖGSKOLAN
1206,FI,HAAGA-HELIA AMMATTIKORKEAKOULU OY
1207,ES,HACER CREATIVO SL
1208,TR,HACETTEPE UNIVERSITESI
1209,DE,HAFENCITY UNIVERSITÄT HAMBURG
1210,VN,HAI PHONG UNIVERSITY OF MEDICINE AND PHARMACY
1211,CN,HAINAN COLLEGE OF SOFTWARE TECHNOLOGY
1212,VN,HAIPHONG UNIVERSITY
1213,TR,HAKKARI UNIVERSITESI
1214,TR,HALIC UNIVERSITY
1215,DE,HAMBURG MEDIA SCHOOL GMBH
1216,DE,HAMBURG SCHOOL OF BUSINESS ADMINISTRATION GGMBH
1217,FI,HAMEEN AMMATTIKORKEAKOULU OY
1218,SE,HANDELSHOGSKOLAN I STOCKHOLM
1219,KR,HANDONG GLOBAL UNIVERSITY
1220,KR,HANKUK UNIVERSITY OF FOREIGN STUDIES
1221,KR,HANNAM UNIVERSITY
1222,VN,HANOI MEDICAL UNIVERSITY
1223,VN,HANOI NATIONAL UNIVERSITY OF EDUCATION
1224,VN,HANOI UNIVERSITY
1225,VN,HANOI UNIVERSITY OF CULTURE
1226,VN,HANOI UNIVERSITY OF MINING AND GEOLOGY
1227,VN,"HANOI UNIVERSITY OF SCIENCE, VIETNAM NATIONAL UNIVERSITY HANOI"
1228,KR,HANYANG UNIVERSITY
1229,NL,HANZEHOGESCHOOL GRONINGEN STICHTING
1230,CN,HARBIN INSTITUTE OF TECHNOLOGY
1231,EL,HAROKOPIO UNIVERSITY
1232,UK,HARPER ADAMS UNIVERSITY
1233,TR,HARRAN UNIVERSITESI
1234,TR,HASAN KALYONCU UNIVERSITESI
1235,JO,HASHEMITE UNIVERSITY
1236,IS,HASKOLI ISLANDS
1237,IS,HASKOLINN A AKUREYRI
1238,IS,HASKOLINN A BIFROST SES
1239,IS,HASKOLINN I REYKJAVIK EHF
1240,BE,HAUTE ECOLE BRUXELLES-BRABANT (HE2B)
1241,BE,HAUTE ECOLE CHARLEMAGNE HE CH
1242,BE,HAUTE ECOLE DE LA COMMUNAUTÉ FRANÇAISE ALBERT JACQUARD
1243,BE,HAUTE ECOLE DE LA VILLE DE LIEGE
1244,BE,HAUTE ECOLE DE NAMUR-LIÈGE-LUXEMBOURG
1245,BE,HAUTE ECOLE EN HAINAUT
1246,BE,HAUTE ECOLE FRANCISCO FERRER
1247,BE,HAUTE ECOLE GALILEE
1248,BE,HAUTE ECOLE LIBRE DE BRUXELLES - ILYA PRIGOGINE
1249,BE,HAUTE ECOLE LIBRE MOSANE
1250,BE,HAUTE ECOLE LOUVAIN EN HAINAUT - HELHA
1251,BE,HAUTE ECOLE LÉONARD DE VINCI
1252,BE,HAUTE ECOLE PROVINCIALE DE HAINAUT - CONDORCET
1253,BE,HAUTE ECOLE ROBERT SCHUMAN
1254,BE,HAUTE ÉCOLE DE LA PROVINCE DE LIÈGE
1255,FR,HAUTE ÉCOLE DES ARTS DU RHIN
1256,DE,HAWK HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFT UND KUNST FACHHOCHSCHULE HILDESHEIM/HOLZMINDEN/GOTTINGEN
1257,PS,HEBRON UNIVERSITY
1258,CN,HEILONGJIANG INTERNATIONAL UNIVERSITY
1259,CN,HEILONGJIANG UNIVERSITY
1260,DE,HEINRICH-HEINE-UNIVERSITAET DUESSELDORF
1261,EG,HELIOPOLIS UNIVERSITY ASSOCIATION
1262,EL,HELLENIC ARMY ACADEMY
1263,EL,HELLENIC OPEN UNIVERSITY
1264,DE,HELMUT SCHMIDT UNIVERSITAT UNIVERSITAT DER BUNDESWEHR HAMBURG
1265,FI,HELSINGIN YLIOPISTO
1266,EG,HELWAN UNIVERSITY
1267,UK,HERIOT-WATT UNIVERSITY
1268,DE,HERTIE SCHOOL OF GOVERNANCE GEMMEINNUTZIGE GMBH
1269,DE,HHL GEMEINNUTZIGE GMBH
1270,TN,HIGHER  INSTITUTE OF TECHNOLOGICAL STUDIES OF RADES
1271,BY,HIGHER EDUCATIONAL ESTABLISHMENT OF THE FEDERATION OF TRADE UNIONS OF BELARUS INTERNATIONAL UNIVERSITY MITSO
1272,UA,HIGHER EDUCATIONAL ESTABLISHMENT OF UKOOPSPILKA POLTAVA UNIVERSITY OF ECONOMICS AND TRADE PUET
1273,UA,HIGHER EDUCATIONAL ESTABLISHMENT UKRAINIAN CATHOLIC UNIVERSITY
1274,UA,HIGHER EDUCATIONAL INSTITUTION ALFRED NOBEL UNIVERSITY
1275,CY,HIGHER HOTEL INSTITUTE CYPRUS (HHIC)
1276,TN,HIGHER INSTITUTE OF TECHNOLOGICAL STUDIES OF KSAR HELLAL (ISET)
1277,BG,"HIGHER SCHOOL OF TRANSPORT ""TODOR KABLESHKOV""-SOFIA"
1278,UA,HIGHER STATE EDUCATION INSTITUTION BANKING UNIVERSITY
1279,UA,HIGHER STATE EDUCATIONAL ESTABLISHMENT OF UKRAINE ''BUKOVINIAN STATE MEDICAL UNIVERSITY''
1280,IN,HINDUSTAN INSTITUTE OF TECHNOLOGY & SCIENCE
1281,JP,HIROSHIMA CITY UNIVERSITY
1282,TR,HITIT ÜNIVERSITESI
1283,DE,HMKW - HOCHSCHULE FUR MEDIEN KOMMUNIKATION UND WIRTSCHAFT GMBH
1284,VN,HO CHI MINH CITY CONSERVATORY OF MUSIC
1285,VN,HO CHI MINH CITY UNIVERSITY OF FOREIGN LANGUAGES AND INFORMATION TECHNOLOGY
1286,VN,HO CHI MINH INTERNATIONAL UNIVERSITY
1287,VN,HOC VIEN NONG NGHIEP VIET NAM
1288,DE,HOCHSCHULE 21 GEMEINNÜTZIGE GMBH
1289,DE,HOCHSCHULE AALEN - TECHNIK UND WIRTSCHAFT
1290,DE,HOCHSCHULE ANHALT
1291,DE,HOCHSCHULE BIBERACH
1292,DE,HOCHSCHULE BOCHUM
1293,DE,HOCHSCHULE BONN-RHEIN-SIEG
1294,DE,HOCHSCHULE BREMEN
1295,DE,HOCHSCHULE BREMERHAVEN - UNIVERSITY OF APPLIED SCIENCES
1296,DE,HOCHSCHULE DARMSTADT (UNIVERSITY OF APPLIED SCIENCES H-DA)
1297,DE,HOCHSCHULE DER BILDENDEN KÜNSTE SAAR
1298,DE,HOCHSCHULE DER MEDIEN
1299,DE,HOCHSCHULE DER WIRTSCHAFT FUR MANAGEMENT
1300,DE,HOCHSCHULE DUSSELDORF
1301,DE,HOCHSCHULE EMDEN/LEER
1302,DE,HOCHSCHULE ESSLINGEN
1303,DE,HOCHSCHULE FLENSBURG
1304,DE,HOCHSCHULE FRESENIUS GEMEINNUTZIGEGMBH
1305,DE,HOCHSCHULE FUER FORSTWIRTSCHAFT ROTTENBURG
1306,DE,HOCHSCHULE FUER GRAFIK UND BUCHKUNST LEIPZIG / ACADEMY OF FINE ARTS
1307,DE,HOCHSCHULE FUER MUSIK FRANZ LISZT WEIMAR
1308,DE,HOCHSCHULE FUER MUSIK KARLSRUHE
1309,DE,HOCHSCHULE FUER MUSIK NUERNBERG
1310,DE,HOCHSCHULE FUER MUSIK UND THEATER HAMBURG
1311,DE,"HOCHSCHULE FUER MUSIK, THEATER UND MEDIEN HANNOVER"
1312,DE,HOCHSCHULE FUER TECHNIK UND WIRTSCHAFT DRESDEN
1313,DE,HOCHSCHULE FUER WIRTSCHAFT UND UMWELT NUERTINGEN-GEISLINGEN
1314,DE,"HOCHSCHULE FUER WIRTSCHAFT, TECHNIK UND KULTUR GGMBH"
1315,DE,HOCHSCHULE FULDA-UNIVERSITY OF APPLIED SCIENCES
1316,AT,HOCHSCHULE FUR AGRAR- UND UMWELTPADAGOGIK
1317,DE,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN - FACHHOCHSCHULE ANSBACH
1318,DE,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN COBURG
1319,DE,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN FACHHOCHSCHULE LANDSHUT
1320,DE,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG
1321,DE,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN KEMPTEN
1322,DE,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN MUNCHEN
1323,DE,HOCHSCHULE FUR BILDENDE KUNSTE DRESDEN
1324,DE,HOCHSCHULE FUR DEN OFFENTLICHEN DIENST IN BAYERN
1325,DE,HOCHSCHULE FUR MUSIK UND TANZ KOLN
1326,DE,HOCHSCHULE FUR MUSIK UND THEATER FELIX MENDELSSOHN BARTHOLDY LEIPZIG
1327,DE,HOCHSCHULE FUR MUSIK UND THEATER HANNOVER
1328,DE,HOCHSCHULE FUR NACHHALTIGE ENTWICKLUNG EBERSWALDE
1329,DE,HOCHSCHULE FUR TECHNIK STUTTGART
1330,DE,HOCHSCHULE FUR TECHNIK UND WIRTSCHAFT DES SAARLANDES
1331,DE,HOCHSCHULE FUR TECHNIK WIRTSCHAFT UND KULTUR LEIPZIG
1332,DE,HOCHSCHULE FUR WIRTSCHAFT UND RECHT BERLIN
1333,DE,HOCHSCHULE FURTWANGEN
1334,DE,HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN ASCHAFFENBURG
1335,DE,HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN AUGSBURG
1336,DE,HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN HOF
1337,DE,HOCHSCHULE FÜR ANGEWANDTE WISSENSCHAFTEN NEU-ULM
1338,DE,HOCHSCHULE FÜR ANGEWANDTES MANAGEMENT GMBH
1339,DE,HOCHSCHULE FÜR BILDENDE KÜNSTE BRAUNSCHWEIG
1340,DE,HOCHSCHULE FÜR BILDENDE KÜNSTE HAMBURG
1341,DE,HOCHSCHULE FÜR GESTALTUNG OFFENBACH AM MAIN
1342,DE,HOCHSCHULE FÜR GESTALTUNG SCHWÄBISCH GMÜND
1343,DE,HOCHSCHULE FÜR KATHOLISCHE KIRCHENMUSIK UND MUSIKPÄDAGOGIK REGENSBURG
1344,DE,"HOCHSCHULE FÜR KUNST, DESIGN UND POPULÄRE MUSIK FREIBURG GGMBH"
1345,DE,"HOCHSCHULE FÜR KÜNSTE IM SOZIALEN, OTTERSBERG"
1346,DE,"HOCHSCHULE FÜR MUSIK ""HANNS EISLER"" BERLIN"
1347,DE,HOCHSCHULE FÜR MUSIK DETMOLD
1348,DE,HOCHSCHULE FÜR MUSIK FREIBURG
1349,DE,HOCHSCHULE FÜR MUSIK SAAR
1350,DE,HOCHSCHULE FÜR MUSIK UND DARSTELLENDE KUNST FRANKFURT AM MAIN
1351,DE,HOCHSCHULE FÜR MUSIK UND THEATER MÜNCHEN
1352,DE,HOCHSCHULE FÜR MUSIK UND THEATER ROSTOCK
1353,DE,HOCHSCHULE FÜR MUSIK WÜRZBURG
1354,DE,HOCHSCHULE FÜR POLIZEI UND ÖFFENTLICHE VERWALTUNG  NORDRHEIN-WESTFALEN
1355,DE,HOCHSCHULE FÜR TECHNIK UND WIRTSCHAFT BERLIN
1356,DE,HOCHSCHULE FÜR TELEKOMMUNIKATION LEIPZIG
1357,DE,HOCHSCHULE FÜR WIRTSCHAFT UND GESELLSCHAFT LUDWIGSHAFEN
1358,DE,HOCHSCHULE GEISENHEIM
1359,DE,HOCHSCHULE HAMM-LIPPSTADT
1360,DE,HOCHSCHULE HANNOVER
1361,DE,HOCHSCHULE HARZ
1362,DE,HOCHSCHULE HEILBRONN
1363,DE,HOCHSCHULE KAISERSLAUTERN
1364,DE,HOCHSCHULE KARLSRUHE-TECHNIK UND WIRTSCHAFT
1365,DE,HOCHSCHULE KOBLENZ
1366,DE,HOCHSCHULE KONSTANZ TECHNIK WIRTSCHAFT UND GESTALTUNG
1367,DE,HOCHSCHULE LUDWIGSHAFEN AM RHEIN
1368,DE,HOCHSCHULE MAGDEBURG-STENDAL
1369,DE,HOCHSCHULE MAINZ UNIVERSITY OF APPLIED SCIENCES
1370,DE,HOCHSCHULE MANNHEIM
1371,DE,HOCHSCHULE MERSEBURG
1372,DE,HOCHSCHULE MITTWEIDA (FH)
1373,DE,HOCHSCHULE NEUBRANDENBURG
1374,DE,HOCHSCHULE NIEDERRHEIN
1375,DE,HOCHSCHULE NORDHAUSEN
1376,DE,HOCHSCHULE OFFENBURG
1377,DE,HOCHSCHULE PFORZHEIM
1378,DE,HOCHSCHULE RAVENSBURG-WEINGARTEN
1379,DE,HOCHSCHULE REUTLINGEN - TECHNIK-WIRTSCHAFT-INFORMATIK-DESIGN
