Institution Name;English Institution Name;Country Code;Institution Category - English;Name of the city;Geographic coordinates - latitude;Geographic coordinates - longitude;Total students enrolled ISCED 5-7
Българска академия на науките;Bulgarian Academy of Sciences;BG;Scientific organization;Sofia;42,694443;23,332013;a
Европейски политехнически университет - Перник;European Polytechnical University - Pernik;BG;University;Pernik;42,610903;23,040543;40
Universität Basel;University of Basel;CH;Cantonal University;Basel;47,558613;7,582793;10668
Universität Bern;University of Bern;CH;Cantonal University;Bern;46,950184;7,436951;14022
Université de Fribourg;University of Fribourg;CH;Cantonal University;Fribourg;46,806279;7,151929;9330
Université de Genève;University of Geneva;CH;Cantonal University;Genève;46,199647;6,142225;14498
Université de Lausanne;University of Lausanne;CH;Cantonal University;Lausanne;46,52109;6,580161;12281
Universität Luzern;University of Lucerne;CH;Cantonal University;Luzern;47,049437;8,312341;2519
Université de Neuchâtel;University of Neuchâtel;CH;Cantonal University;Neuchâtel;46,993884;6,938716;3648
Universität Sankt Gallen;University of Sankt Gallen;CH;Cantonal University;Sankt Gallen;47,431612;9,374617;8268
Universität Zürich;University of Zurich;CH;Cantonal University;Zürich;47,374327;8,550979;20983
Università della Svizzera italiana;Università della Svizzera italiana;CH;Cantonal University;Lugano;46,010731;8,958132;2589
Ecole Polytechnique Fédéral de Lausanne;Federal Institute of Technology Lausanne;CH;Federal University of Technology;Lausanne;46,519068;6,566756;8212
Eidgenössische Technische Hochschule Zürich;Federal Institute of Technology Zurich;CH;Federal University of Technology;Zürich;47,376536;8,548093;15300
Berner Fachhochschule;Bern University of Applied Sciences;CH;University of Applied Sciences;Bern;46,951389;7,435204;7164
Haute Ecole Spécialisée de la Suisse Occidentale;University of Applied Sciences and Arts Western Switzerland;CH;University of Applied Sciences;Delémont;47,362533;7,352284;20796
