Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Hochschule für Graphik und Buchkunst Leipzig;Academy of Visual Arts Leipzig;DE;university of arts ;566;a
Hochschule für Musik und Theater Leipzig;University of Music & Theatre Leipzig;DE;university of arts ;1127;a
Burg Giebichenstein Kunsthochschule Halle;Burg Giebichenstein University of Art and Design Halle;DE;university of arts ;1023;s
Muthesius Kunsthochschule Kiel;Muthesius Academy of Fine Arts and Design;DE;university of arts ;539;11
Musikhochschule Lübeck;University of Music Lübeck;DE;university of arts ;394;5
Hochschule für Musik Franz Liszt Weimar;University of Music Franz Liszt Weimar;DE;university of arts ;789;21
Hochschule Aalen - Technik und Wirtschaft;Aalen University;DE;university of applied sciences;5872;a
Hochschule Albstadt-Sigmaringen (FH);Albstadt-Sigmaringen University;DE;university of applied sciences;3579;a
Fachhochschule Biberach a. d. Riss;Biberach University of Applied Sciences;DE;university of applied sciences;2374;a
Hochschule Esslingen (FH);University of Applied Sciences Esslingen;DE;university of applied sciences;6249;a
Hochuschule Furtwangen (FH);Furtwangen University;DE;university of applied sciences;6816;a
Hochschule Heilbronn (FH);Heilbronn University;DE;university of applied sciences;8309;a
Hochschule Karsruhe - Technik und Wirtschaft;University of Applied Sciences Karlsruhe;DE;university of applied sciences;8403;a
Hochschule Konstanz - Technik, Wirtschaft und Gestaltung;Konstanz University of Applied Sciences;DE;university of applied sciences;5061;a
Hochschule der Bundesagentur für Arbeit;University of Applied Labour Studies of the Federal Employment Agency;DE;university of applied sciences;m;a
Hochschule Mannheim (FH);University of Applied Sciences Mannheim;DE;university of applied sciences;5210;a
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen;Nuertingen-Geislingen University;DE;university of applied sciences;5347;a
Hochschule Offenburg;Offenburg University;DE;university of applied sciences;4576;a
Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht;Pforzheim University;DE;university of applied sciences;6032;a
Duale Hochschule Baden Württemberg, Stuttgart (FH);Baden-Wuerttemberg Cooperative State University;DE;university of applied sciences;34242;a
Hochschule Ravensburg-Weingarten;University of Applied Sciences Ravensburg-Weingarten;DE;university of applied sciences;3605;a
Hochschule Reutlingen;Reutlingen University;DE;university of applied sciences;5762;a
Hochschule für Forstwirtschaft Rottenburg (FH);University of Applied Forest Sciences Rottenburg;DE;university of applied sciences;1056;a
Hochschule für Gestaltung Schwäbisch Gmünd;University of Design Schwäbisch-Gmünd;DE;university of applied sciences;663;a
Fachhochschule Stuttgart, Hochschule der Medien;Stuttgart Media University;DE;university of applied sciences;4815;a
Hochschule für Technik Stuttgart;Stuttgart University of Applied Sciences;DE;university of applied sciences;4011;a
Hochschule Ulm;University of Applied Sciences Ulm;DE;university of applied sciences;4079;a
SRH Hochschule für Wirtschaft und Medien Calw;SRH Hochschule für Wirtschaft und Medien Calw;DE;university of applied sciences;225;a
SRH Hochschule Heidelberg (Priv. FH);;DE;university of applied sciences;3149;a
German Graduate School of Management and Law;German Graduate School of Management and Law;DE;university of applied sciences;305;a
Karlshochschule International University, Karlsruhe (Priv. FH);Karlshochschule International University;DE;university of applied sciences;601;a
Private Fachhochschule für Kunsttherapie Nürtingen;Private Fachhochschule für Kunsttherapie Nürtingen;DE;university of applied sciences;m;a
SRH Fernhochschule Riedlingen;SRH Fernhochschule Riedlingen;DE;university of applied sciences;3685;a
AKAD, Fachhochschule Stuttgart (Priv. Fern-FH für Berufstätige);AKAD University of Applied Sciences Stuttgart;DE;university of applied sciences;4855;a
Merz Akademie Hochschule für Gestaltung, Kunst und Medien, Stuttgart (Priv. FH);Merz Akademie;DE;university of applied sciences;221;a
Evang. Hochschule Freiburg (FH);;DE;university of applied sciences;941;a
Evangelische Hochschule Ludwigsburg;Evangelische Hochschule Ludwigsburg;DE;university of applied sciences;1224;a
Katholische Hochschule Freiburg i.Br.;Catholic University of Applied Sciences Freiburg;DE;university of applied sciences;1867;a
Ostbayerische Technische Hochschule Amberg-Weiden;Ostbayerische Technische Hochschule Amberg-Weiden;DE;university of applied sciences;3273;a
Hochschule für angewandte Wissenschaften Ansbach;Ansbach University of Applied Sciences;DE;university of applied sciences;2900;a
Hochschule für angewandte Wissenschaften Aschaffenburg;Aschaffenburg University of Applied Sciences;DE;university of applied sciences;3374;a
Hochschule für angewandte Wissenschaften Augsburg;Augsburg University of Applied Sciences;DE;university of applied sciences;6038;a
Hochschule für angewandte Wissenschaften Coburg;Coburg University of Applied Sciences;DE;university of applied sciences;5279;a
Technische Hochschule Deggendorf;Deggendorf Institute of Technology;DE;university of applied sciences;6007;a
Hochschule für Angewandte Wissenschaften Hof;Hof University of Applied Sciences;DE;university of applied sciences;3464;a
Technische Hochschule Ingolstadt;Technische Hochschule Ingolstadt;DE;university of applied sciences;5274;a
Hochschule für angewandte Wissenschaften Kempten;Kempten University of Applied Sciences;DE;university of applied sciences;6045;a
Hochschule für angewandte Wissenschaften Landshut;University of Applied Sciences Landshut;DE;university of applied sciences;5117;a
Hochschule für angewandte Wissenschaften München;Munich University of Applied Sciences;DE;university of applied sciences;17841;a
Hochschule für angewandte Wissenschaften Neu-Ulm;Neu-Ulm University of Applied Sciences;DE;university of applied sciences;3815;a
Technische Hochschule Nürnberg Georg Simon Ohm;Technische Hochschule Nürnberg Georg Simon Ohm;DE;university of applied sciences;12699;a
Ostbayerische Technische Hochschule Regensburg;Ostbayerische Technische Hochschule Regensburg;DE;university of applied sciences;10809;a
Hochschule für angewandte Wissenschaften Rosenheim;Rosenheim University of Applied Sciences;DE;university of applied sciences;5919;a
Hochschule für angewandte Wissenschafte Weihenstephan-Triesdorf;Weihenstephan-Triesdorf University of Applied Sciences;DE;university of applied sciences;6424;a
Hochschule für angewandte Wissenschafte Würzburg-Schweinfurt;University of Applied Sciences Würzburg-Schweinfurt;DE;university of applied sciences;8962;a
Hochschule für angewandtes Management-Fachhochschule;University of Applied Management;DE;university of applied sciences;2769;a
Hochschule für angewandte Sprachen, München, SDI (Priv. FH);University of Applied Languages Munich;DE;university of applied sciences;368;a
Hochschule Macromedia;Macromedia University of Applied Sciences;DE;university of applied sciences;2465;a
Munich Business School München (Priv. FH);Munich Business School München (Priv. FH);DE;university of applied sciences;637;a
Evangelische Hochschule Nürnberg (FH);Evangelische Hochschule Nürnberg (FH);DE;university of applied sciences;1526;a
Katholische Stiftungsfachhochschule München;Katholische Stiftungsfachhochschule München;DE;university of applied sciences;2409;a
Alice Salomon Hochschule Berlin;Alice Salomon Hochschule Berlin;DE;university of applied sciences;3695;a
Beuth Hochschule für Technik Berlin;Beuth University of Applied Sciences;DE;university of applied sciences;12767;a
Hochschule für Technik und Wirtschaft Berlin;Berlin University of Applied Sciences;DE;university of applied sciences;13351;a
Hochschule für Wirtschaft und Recht (HWR) Berlin;Berlin School of Economics and Law;DE;university of applied sciences;10472;a
bbw Hochschule Berlin (Priv. FH);bbw University of Applied Sciences;DE;university of applied sciences;1162;a
Design Akademie Berlin (Priv. FH);Design Akademie Berlin (Priv. FH);DE;university of applied sciences;314;a
Hochschule für Gesundheit und Sport Berlin (Priv. FH);Hochschule für Gesundheit und Sport Berlin (Priv. FH);DE;university of applied sciences;1151;a
IB-Hochschule Berlin (Priv. FH);IB-Hochschule Berlin (Priv. FH);DE;university of applied sciences;506;a
EBC Hochschule Berlin (Priv. FH);;DE;university of applied sciences;xr;a
Mediadesign Hochschule Berlin (Priv. FH);Mediadesign University of Applied Sciences;DE;university of applied sciences;1159;a
SRH Hochschule Berlin (Priv. FH);SRH University Berlin;DE;university of applied sciences;922;a
Berliner Technische Kunsthochschule (Priv. FH);BTK University of Applied Sciences;DE;university of applied sciences;751;a
Evangelische Hochschule Berlin (FH);Protestant Fachhochschule Berlin;DE;university of applied sciences;1370;a
Katholische Hochschule für Sozialwesen Berlin (FH);Catholic University for Applied Sciences Berlin;DE;university of applied sciences;1347;a
Technische Hochschule Brandenburg;Brandenburg University of Applied Sciences;DE;university of applied sciences;2606;a
Hochschule für nachhaltige Entwicklung Eberswalde (FH);University of Applied Sciences in Eberswalde;DE;university of applied sciences;2083;a
Fachhochschule Potsdam;Potsdam University of Applied Sciences;DE;university of applied sciences;m;a
Technische Hochschule Wildau (FH);Technical University of Applied Sciences Wildau;DE;university of applied sciences;3786;a
Hochschule Bremen;City University of Applied Sciences Bremen;DE;university of applied sciences;9031;a
Hochschule Bremerhaven;University of Applied Sciences Bremerhaven;DE;university of applied sciences;3157;a
APOLLON Hochschule der Gesundheitswirtschaft Bremen (Priv. FH);University of Applied Sciences Apollon;DE;university of applied sciences;2325;a
Hochschule für Angewandte Wissenschaften Hamburg;Hamburg University of Applied Sciences;DE;university of applied sciences;16801;82
Europäische Fernhochschule Hamburg GmbH Hamburg (Priv. FH);Europäische FernHochschule Hamburg GmbH Hamburg (Priv. FH);DE;university of applied sciences;7025;a
HFH Hamburger Fern-Hochschule (Priv. FH);HFH Hamburger Fern-Hochschule (Priv. FH);DE;university of applied sciences;10082;a
HSBA Hamburg School of Business Administration (Priv. FH);HSBA Hamburg School of Business Administration (Priv. FH);DE;university of applied sciences;924;a
Evangelische Hochschule für Soziale Arbeit und Diakonie, Hamburg (FH);Evangelische Hochschule für Soziale Arbeit und Diakonie, Hamburg (FH);DE;university of applied sciences;601;a
EBC Hochschule Hamburg;University of Applied Sciences Europe (Campus Hamburg);DE;university of applied sciences;801;a
h_da - Hochschule Darmstadt (FH);Darmstadt University of Applied Sciences;DE;university of applied sciences;16143;a
Frankfurt University of Applied Sciences;Frankfurt University of Applied Sciences;DE;university of applied sciences;14047;a
Hoschule Fulda;Fulda University of Applied Sciences;DE;university of applied sciences;8495;a
Technische Hochschule Mittelhessen;Technische Hochschule Mittelhessen;DE;university of applied sciences;17151;a
Hochschule RheinMain;RheinMain University of Applied Sciences;DE;university of applied sciences;12827;a
Hochschule der Deutschen Gesetzl. Unfallversicherung, Bad Hersfeld (Priv. FH);;DE;university of applied sciences;236;a
accadis Hochschule Bad Homburg (Priv. FH);accadis Hochschule Bad Homburg (Priv. FH);DE;university of applied sciences;544;a
Wilhelm Büchner Hochschule Darmstadt (Priv. Fern-FH);Wilhelm Büchner Hochschule Darmstadt (Priv. Fern-FH);DE;university of applied sciences;5563;a
Provadis School of International Management and Technology, Frankfurt a.M. (Priv. FH);Provadis School of International Management and Technology, Frankfurt a.M. (Priv. FH);DE;university of applied sciences;1062;a
Hochschule Fresenius Idstein (Priv. FH);Fresenius University Applied Sciences;DE;university of applied sciences;9337;a
DIPLOMA Hochschule;DIPLOMA Hochschule;DE;university of applied sciences;5180;a
Evangelische Hochschule Darmstadt (EHD), FH;Protestant University of Applied Sciences Darmstadt;DE;university of applied sciences;1847;a
Hochschule Neubrandenburg;Neubrandenburg University of Applied Sciences;DE;university of applied sciences;2056;a
Fachhochschule Stralsund;Stralsund University of Applied Sciences;DE;university of applied sciences;2201;a
Hochschule Wismar;Wismar University of Applied Sciences Technology, Business and Design;DE;university of applied sciences;8653;a
Ostfalia Hochschule für angewandte Wissenschaften;Ostfalia University of Applied Sciences;DE;university of applied sciences;13086;a
Hochschule Hannover (FH);Hannover University of Applied Sciences and Arts;DE;university of applied sciences;9721;s
HAWK Hochschule für Angewandte Wissenschaften und Kunst Hildesheim/Holzminden/Göttingen;University of Applied Sciences and Arts Hildesheim/Holzminden/Göttingen;DE;university of applied sciences;5902;a
Hochschule Osnabrück (FH);Osnabrück University of Applied Sciences;DE;university of applied sciences;13670;a
Hochschule 21, Buxtehude (Priv. FH);Hochschule 21, Buxtehude (Priv. FH);DE;university of applied sciences;991;a
PFH - Private Hochschule Götingen;PFH – Private University of Applied Sciences;DE;university of applied sciences;2839;a
Private Fachhochschule der Wirtschaft Hannover;University of Applied Sciences in Hannover;DE;university of applied sciences;433;a
Hochschule für Künste im Sozialen;HKS - University of applied sciences and arts in Ottersberg;DE;university of applied sciences;357;a
Private Hochschule für Wirtschaft und Technik Vechta/Diepholz/Oldenburg;Private Hochschule für Wirtschaft und Technik Vechta/Diepholz/Oldenburg;DE;university of applied sciences;585;a
Fachhochschule Aachen;Aachen University of Applied Sciences;DE;university of applied sciences;13629;a
Fachhochschule Bielefeld;Bielefeld University of Applied Sciences;DE;university of applied sciences;9939;a
Hochschule Bochum;Bochum University of Applied Sciences;DE;university of applied sciences;7513;a
Hochschule Bonn-Rhein-Sieg;University of Applied Sciences Bonn-Rhein-Sieg;DE;university of applied sciences;7965;a
Fachhochschule Dortmund;Dortmund University of Applied Sciences and Arts;DE;university of applied sciences;13797;a
Hochschule Düsseldorf;Düsseldorf University of Applied Sciences;DE;university of applied sciences;10235;a
Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen;Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen;DE;university of applied sciences;9256;a
Technische Hochschule Köln;Cologne University of Applied Sciences;DE;university of applied sciences;25401;a
Hochschule Ostewestfalen-Lippe;Ostwestfalen-Lippe University of Applied Sciences;DE;university of applied sciences;6620;a
Fachhochschule Münster;Münster University of Applied Sciences;DE;university of applied sciences;14140;a
Hochschule Niederrhein;Niederrhein University of Applied Sciences;DE;university of applied sciences;14657;a
Fachhochschule Südwestfalen;South Westphalia University of Applied Sciences;DE;university of applied sciences;13872;a
IUBH Internationale Hochschule;IUBH University of Applied Sciences;DE;university of applied sciences;9880;a
Fachhochschule des Mittelstandes Bielefeld (Priv. FH);;DE;university of applied sciences;m;a
Technische FH (TFH) Georg Agricola zu Bochum (Priv. FH);Georg Agricola University of Applied Sciences;DE;university of applied sciences;2282;a
EBZ Business School Bochum (Priv. FH);EBZ Business School - University of Applied Sciences;DE;university of applied sciences;1101;a
Hochschule der Sparkassen-Finanzgruppe Bonn (Priv. FH);University of Applied Sciences - Bonn;DE;university of applied sciences;924;a
Europäische FH (EUFH) Rhein/Erft (Priv.);European University of Applied Sciences;DE;university of applied sciences;m;a
Private Fachhochschule International School of Management, Dortmund;Private Fachhochschule International School of Management, Dortmund;DE;university of applied sciences;3180;a
Private Fachhochschule für Ökonomie und Management Essen;FOM University of Applied Sciences;DE;university of applied sciences;42264;a
SRH Hochschule für Logistik und Wirtschaft Hamm (Priv. FH);SRH Hochschule für Logistik und Wirtschaft Hamm (Priv. FH);DE;university of applied sciences;729;a
Business and Information Technology School Iserlohn (Priv. FH);Business and Information Technology School Iserlohn (Priv. FH);DE;university of applied sciences;1954;a
Private Rheinische Fachhochschule Köln;Rheinische Fachhochschule Cologne;DE;university of applied sciences;6396;a
Private Fachhochschule der Wirtschaft Paderborn;Private Fachhochschule der Wirtschaft Paderborn;DE;university of applied sciences;2134;a
Fachhochschule der Diakonie Bielefeld-Bethel;Fachhochschule der Diakonie Bielefeld-Bethel;DE;university of applied sciences;817;a
Evangelische Hochschule Rheinland-Westfalen-Lippe;Rheinland-Westfalen-Lippe Protestant University of Applied Sciences;DE;university of applied sciences;2331;a
Katholische Hochschule Nordrhein-Westfalen;Nordrhein-Westfalen Catholic University of Applied Sciences;DE;university of applied sciences;5302;a
Technische Hochschule Bingen;TH Bingen University of Applied Sciences;DE;university of applied sciences;2641;a
Hochschule Kaiserslautern;Kaiserslautern University of Applied Sciences;DE;university of applied sciences;6109;a
Hochschule Koblenz;Koblenz University of Applied Sciences;DE;university of applied sciences;9176;a
Hochschule Ludwigshafen am Rhein (FH);University of Applied Sciences Ludwigshafen am Rhein;DE;university of applied sciences;4320;a
Hochschule Mainz;Mainz University of Applied Sciences;DE;university of applied sciences;5356;a
Hochschule Trier;Trier University of Applied Sciences;DE;university of applied sciences;7845;a
Hochschule Worms;Worms University of Applied Sciences;DE;university of applied sciences;3555;a
Katholische Hochschule Mainz;Mainz Catholic University of Applied Sciences;DE;university of applied sciences;1297;a
Hochschule für Technik und Wirtschaft des Saarlandes Saarbrücken;University of Applied Sciences Saarbrücken;DE;university of applied sciences;6011;a
Deutsche Hochschule für Prävention und Gesundheitsmanagement, Saarbrücken (Priv. FH);Deutsche Hochschule für Prävention und Gesundheitsmanagement, Saarbrücken (Priv. FH);DE;university of applied sciences;7024;a
Hochschule für Technik und Wirtschaft Dresden;Dresden University of Applied Sciences;DE;university of applied sciences;4903;12
Hochschule für Technik, Wirtschaft und Kultur Leipzig;Leipzig University of Applied Sciences;DE;university of applied sciences;5859;s
Hochschule Mittweida (University of Applied Sciences);University of Applied Sciences Mittweida;DE;university of applied sciences;7063;a
Hochschule Zittau/Görlitz (FH);Zittau/Görlitz University of Applied Sciences;DE;university of applied sciences;2993;15
Westsächsische Hochschule Zwickau;University of Applied Sciences Zwickau;DE;university of applied sciences;4376;a
Deutsche Telekom Hochschule für Telekommunikation, Leipzig (Priv. FH);Deutsche Telekom Hochschule für Telekommunikation, Leipzig (Priv. FH);DE;university of applied sciences;1469;a
Evangelische Hochschule für Soziale Arbeit, Dresden (FH);Evangelische Hochschule für Soziale Arbeit, Dresden (FH);DE;university of applied sciences;674;5
Hochschule Anhalt (FH);Anhalt University of Applied Sciences;DE;university of applied sciences;7205;a
Hochschule Harz (FH);Harz University of Applied Sciences;DE;university of applied sciences;2963;a
Hochschule Magdeburg-Stendal (FH);Magdeburg-Stendal University of Applied Sciences;DE;university of applied sciences;6063;a
Hochschule Merseburg (FH);Merseburg University of Applied Sciences;DE;university of applied sciences;2839;a
Hochschule Flensburg;Flensburg University of Applied Sciences;DE;university of applied sciences;4067;a
Fachhochschule Westküste, Heide;West Coast University of Applied Sciences;DE;university of applied sciences;1797;a
Fachhochschule Kiel;Kiel University of Applied Sciences;DE;university of applied sciences;7719;a
Fachhochschule Lübeck;Luebeck University of Applied Sciences;DE;university of applied sciences;4768;a
NORDAKADEMIE Hochschule der Wirtschaft;NORDAKADEMIE University of Applied Sciences;DE;university of applied sciences;2062;a
Private Fachhochschule Wedel;University of Applied Sciences, Wedel;DE;university of applied sciences;1244;a
Fachhochschule Erfurt;Erfurt University of Applied Sciences;DE;university of applied sciences;4238;a
Ernst-Ebbe-Hochschule Jena;University of Applied Sciences Jena;DE;university of applied sciences;4467;20
Hochschule Nordhausen;Nordhausen University of Applied Sciences;DE;university of applied sciences;2332;a
Hochschule Schmmalkalden;University of Applied Sciences Schmalkalden;DE;university of applied sciences;2696;a
SRH Hochschule für Gesundheit Gera (Priv. FH);SRH University of Applied Sciences Gera;DE;university of applied sciences;1015;a
Hochschule für öffentliche Verwaltung Kehl;University of Public Administration Kehl;DE;university of applied cciences of public administration;1240;a
Hochschule Ludwigsburg für öffentliche Verwaltung und Finanzen;University of Applied Sciences - Public Administration and Finance Ludwigsburg;DE;university of applied cciences of public administration;2667;a
Fachhochschule für Rechtspflege Schwetzingen;"Schwetzingen Technical Institute & Graduate Court Registrars' College";DE;university of applied cciences of public administration;604;a
Hochschule der Polizei Baden-Württemberg;Hochschule der Polizei Baden-Württemberg;DE;university of applied cciences of public administration;1302;a
Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern;Fachhochschule für öffentliche Verwaltung und Rechtspflege in Bayern;DE;university of applied cciences of public administration;4878;a
FH der Polizei Brandenburg (VerwFH) in Oranienburg;FH der Polizei Brandenburg (VerwFH) in Oranienburg;DE;university of applied cciences of public administration;506;a
Fachhochschule für Finanzen Brandenburg in Königs Wusterhausen;Fachhochschule für Finanzen Brandenburg in Königs Wusterhausen;DE;university of applied cciences of public administration;683;a
Hochschule für öffentliche Verwaltung Bremen;Hochschule für öffentliche Verwaltung Bremen;DE;university of applied cciences of public administration;486;a
Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg;Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg;DE;university of applied cciences of public administration;362;a
Hessische Hochschule für Finanzen und Rechtspflege;Hessische Hochschule für Finanzen und Rechtspflege;DE;university of applied cciences of public administration;782;a
Hessische Hochschule für Polizei und Verwaltung;Hessische Hochschule für Polizei und Verwaltung;DE;university of applied cciences of public administration;2964;a
Verwaltungs-Fachhochschule Güstrow;University of Applied Sciences of Public Administration, Police and Administration of Justice in Güstrow;DE;university of applied cciences of public administration;443;a
Norddeutsche Hochschule für Rechtspflege, Hildesheim;Norddeutsche Hochschule für Rechtspflege, Hildesheim;DE;university of applied cciences of public administration;329;a
Kommunale Hochschule für Verwaltung in Niedersachsen;Kommunale Hochschule für Verwaltung in Niedersachsen;DE;university of applied cciences of public administration;962;a
Fachhochschule für Rechtspflege NW, Bad Münstereifel;University of Applied Sciences for the Administration of Justice of North Rhine-Westphalia;DE;university of applied cciences of public administration;439;a
Fachhochschule für Finanzen NW, Nordkirchen;Fachhochschule für Finanzen NW, Nordkirchen;DE;university of applied cciences of public administration;1769;a
Fachhochschule für öffentliche Verwaltung Nordrhein-Westfalen;University of Applied Sciences for Public Administration and Management of North Rhine-Westphalia;DE;university of applied cciences of public administration;8203;a
Hochschule des Bundes für öffentliche Verwaltung;Federal University of Applied Administrative Sciences;DE;university of applied cciences of public administration;3773;a
Hochschule für Finanzen Rheinland-Pfalz;Hochschule für Finanzen Rheinland-Pfalz;DE;university of applied cciences of public administration;611;a
Hochschule der Deutschen Bundesbank Hachenburg;University of Applied Sciences in Hachenburg;DE;university of applied cciences of public administration;355;a
Hochschule für öffentliche Verwaltung Rheinland-Pfalz;Hochschule für öffentliche Verwaltung Rheinland-Pfalz;DE;university of applied cciences of public administration;672;a
Fachhochschule für Verwaltung Saarbrücken;Fachhochschule für Verwaltung Saarbrücken;DE;university of applied cciences of public administration;390;a
Hochschule für öffentliche Verwaltung und Rechtspflege Meißen (FH);Hochschule für öffentliche Verwaltung und Rechtspflege Meißen (FH);DE;university of applied cciences of public administration;565;a
Hochschule der Sächsischen Polizei, Rothenburg/OL. (FH);University of Applied Police Sciences in Rothenburg;DE;university of applied cciences of public administration;471;a
Fachhochschule Polizei Sachsen-Anhalt, Aschersleben;University of Applied Police Sciences Saxony-Anhalt;DE;university of applied cciences of public administration;357;a
Fachhochschule für Verwaltung und Dienstleistung Altenholz;Fachhochschule für Verwaltung und Dienstleistung Altenholz;DE;university of applied cciences of public administration;1204;a
Thüringer Fachhochschule für öffentliche Verwaltung Gotha;Thüringer Fachhochschule für öffentliche Verwaltung Gotha;DE;university of applied cciences of public administration;422;a
Hochschule für Medien, Kommunikation und Wirtschaft (HMKW);HMKW University of Applied Sciences for Media, Communication and Management;DE;university of applied sciences;1736;a
Hochschule für Wirtschaft, Technik und Kultur Berlin (HWTK);HWTK University of Applied Sciences in Berlin;DE;university of applied sciences;469;a
International Psychoanalytic University Berlin;International Psychoanalytic University Berlin;DE;university ;561;a
Hochschule Emden/Leer;Hochschule Emden/Leer;DE;university of applied sciences;4704;a
KLU Kühne Logistics University (Priv.);Kühne Logistics University;DE;university ;252;s
MSH Medical School Hamburg;MSH Medical School Hamburg;DE;university of applied sciences;3021;a
Hochschule Hamm-Lippstadt;Hamm-Lippstadt University of Applied Sciences;DE;university of applied sciences;5273;a
Hochschule Rhein-Waal;Rhine-Waal University of Applied Sciences;DE;university of applied sciences;6470;a
Cologne Business School (CBS) - European University of Applied Sciences (Priv. FH);Cologne Business School (CBS) - European University of Applied Sciences (Priv. FH);DE;university of applied sciences;1817;a
Hochschule der Wirtschaft für Management (HdWM) Mannheim (Priv. FH);University of Applied Management Studies;DE;university of applied sciences;391;a
Hochschule Ruhr West (HRW);Ruhr West University of Applied Sciences;DE;university of applied sciences;5544;a
Psychologische Hochschule Berlin (Priv. U);;DE;university ;256;a
Internationale Hochschule Liebenzell;;DE;university of applied sciences;215;a
Hochschule für Kunst, Design und Populäre Musik Freiburg i. Br. (Priv. FH);;DE;university of applied sciences;226;a
Akkon HS Berlin (Priv. FH);Akkon University for Applied Sciences;DE;university of applied sciences;461;a
DEKRA Hochschule für Medien;DEKRA Hochschule für Medien;DE;university of applied sciences;419;a
Business School Berlin Hochschule für Management;;DE;university of applied sciences;1146;a
CVJM-Hochschule Kassel (Priv. FH);YMCA University of Applied Sciences;DE;university of applied sciences;395;a
Hochschule Weserbergland (HSW), Hameln (Priv.FH);Hochschule Weserbergland (HSW), Hameln (Priv.FH);DE;university of applied sciences;480;a
Leibniz - Fachhochschule Hannover (Priv. FH);Leibniz - Fachhochschule Hannover (Priv. FH);DE;university of applied sciences;586;a
Hochschule für Gesundheit, Bochum;Hochschule für Gesundheit, Bochum;DE;university of applied sciences;1142;a
Fliedner Fachhochschule Düsseldorf (Priv. );Fliedner Fachhochschule Düsseldorf (Priv. );DE;university of applied sciences;1164;a
EBC Hochschule Düsseldorf (Priv. FH);;DE;university of applied sciences;xr;a
Fachhochschule Dresden (Priv. FH);Fachhochschule Dresden (Priv. FH);DE;university of applied sciences;583;a
SRH Hochschule der Populären Künste;SRH Hochschule der Populären Künste;DE;university of applied sciences;607;a
Jade Hochschule;Jade University of Applied Sciences;DE;university of applied sciences;7286;a
Medical School Berlin, Hochschule für Gesundheit und Medizin (Priv. FH);Medical School Berlin, Hochschule für Gesundheit und Medizin (Priv. FH);DE;university of applied sciences;952;a
Brandenburgische Technische Universität Cottbus-Senftenberg;Brandenburg University of Technology (BTU) Cottbus – Senftenberg;DE;university ;7341;441
VWA-Hochschule für berufsbegleitendes Studium Stuttgart (Priv.FH);;DE;m;213;a
Hochschule Geisenheim University (FH);Hochschule Geisenheim University (FH);DE;university of applied sciences;1600;13
Designhochschule Leipzig (Priv. FH);;DE;university of applied sciences;205;a
IST-Hochschule für Management Düsseldorf (Priv. FH);;DE;university of applied sciences;1769;a
Medizinische Hochschule Brandenburg in Neuruppin (Priv. U);Brandenburg Medical School Theodor Fontane;DE;m;164;a
Munich Institute of Media and Musical Arts, MIMA München (Priv. Kunst-H);Munich Institute of Media and Musical Arts, MIMA München;DE;university of arts ;m;m
HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften (Priv. FH);;DE;university of applied sciences;201;a
AMD Akademie Mode und Design Idstein mit allen Standorten;;DE;university of applied sciences;1263;a
GA Hochschule der digitalen Gesellschaft Berlin (Priv. FH);;DE;m;m;a
NBS Northern Business School Hamburg (Priv. FH);NBS Northern Business School;DE;university of applied sciences;585;a
praxisHochschule Köln (Priv. FH);;DE;university of applied sciences;455;a
HSD Hochschule Döpfer Köln (Priv. FH);;DE;university of applied sciences;324;a
Hochschule der Polizei Rheinland-Pfalz in Büchenbeuren;;DE;university ;1387;a
Akademie der Polizei Hamburg;Akademie der Polizei Hamburg;DE;university of applied cciences of public administration;331;a
Duale Hochschule Gera-Eisenach (FH);;DE;university of applied sciences;1248;a
Københavns Universitet;University of Copenhagen;DK;University;37683;3388
Aarhus Universitet;Aarhus University;DK;University;33744;1894
Syddansk Universitet;University of Southern Denmark;DK;University;23002;967
Roskilde Universitet;Roskilde University;DK;University;7930;257
Aalborg Universitet;Aalborg University;DK;University;20359;993
Danmarks Tekniske Universitet;Technical University of Denmark;DK;University;10813;1454
Handelshøjskolen i Kobenhavn;Copenhagen Business School;DK;University;15499;226
IT-Universitetet i København;IT University of Copenhagen;DK;University;1777;43
Arkitektskolen Aarhus;Aarhus School of Architecture;DK;Cultural educ. Inst.;742;29
Designskolen Kolding;Design School Kolding;DK;Cultural educ. Inst.;348;a
Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering;The Royal Danish Academy of Fine Arts, Schools of Architecture, Design and Conservation;DK;Cultural educ. Inst.;1628;42
Professionshøjskolen Metropol;Metropolitan University College;DK;University college;10190;a
Professionshøjskolen UCC;University College Copenhagen;DK;University college;10133;a
Professionshøjskolen University College Nordjylland;University College of Northern Denmark;DK;University college;9364;a
University College Syddanmark;University College South Denmark;DK;University college;6207;a
University College Lillebælt;University College Lillebaelt;DK;University college;6903;a
University College Sjælland;University College Zealand;DK;University college;8214;a
VIA University College;VIA University College;DK;University college;19494;a
