Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Privatuniversität Schloss Seeburg;Private University Schloss Seeburg;AT;Private university;431,5;a
Private Pädagogische Hochschule Stiftung Burgenland;University of Education in Burgenland;AT;University college of teacher education;642,16504329;a
Pädagogische Hochschule Kärnten;University College of Teacher Education, Carinthia;AT;University college of teacher education;766,34469697;a
Pädagogische Hochschule Niederösterreich;;AT;University college of teacher education;2607,907045134;a
Pädagogische Hochschule Oberösterreich;University of Education, Upper Austria;AT;University college of teacher education;1976,52978817;a
Private Pädagogische Hochschule der Diözese Linz;Private University College of Education of the Diocese of Linz;AT;University college of teacher education;1541,901415154;a
Pädagogische Hochschule Salzburg Stefan Zweig;Salzburg University of Education Stefan Zweig;AT;University college of teacher education;835,653327131;a
Pädagogische Hochschule Steiermark;University of Teacher Education Styria;AT;University college of teacher education;1911,157045732;a
Kirchliche Pädagogische Hochschule der Stiftung der Diözese Graz-Seckau;Catholic University College for Education Graz;AT;University college of teacher education;692,220093795;a
Pädagogische Hochschule Tirol;Pedagogical University Tyrol;AT;University college of teacher education;1181,34792291;a
Kirchliche Pädagogische Hochschule Edith Stein;;AT;University college of teacher education;542,686811799;a
Pädagogische Hochschule Vorarlberg;;AT;University college of teacher education;672,831256244;a
Pädagogische Hochschule Wien;University College of Teacher Education in Vienna;AT;University college of teacher education;3966,942026819;a
Kirchliche Pädagogische Hochschule Wien/Krems;Christian University College of Teacher Education Vienna/Krems;AT;University college of teacher education;3793,26321119;a
Hochschule für Agrar- und Umweltpädagogik Wien;University College for Agrarian and Environmental Pedagogy;AT;University college of teacher education;489,366666667;a
Fachhochschule Burgenland GmbH;University of Applied Sciences Burgenland;AT;University of applied sciences;2853,015451215;a
Fachhochschule Salzburg GmbH;Salzburg University of Applied Sciences;AT;University of applied sciences;2865,283333333;a
Fachhochschule St. Pölten GmbH;University of Applied Sciences St. Pölten;AT;University of applied sciences;2623,466666667;a
CAMPUS 02 Fachhochschule der Wirtschaft GmbH;CAMPUS 02 University of Applied Sciences;AT;University of applied sciences;1247,743290043;a
Fachhochschule des bfi Wien GmbH;University of Applied Science bfi Vienna Ltd.;AT;University of applied sciences;2017,124242424;a
MCI - Management Center Innsbruck Internationale Hochschule GmbH;Management Center Innsbruck Ltd.;AT;University of applied sciences;2979,866666667;a
Bundesministerium für Landesverteidigung und Sport, Sektion II, Gruppe Ausbildungswesen, Ausbildung A;Federal Ministry of Defence;AT;University of applied sciences;124,833333333;a
FHS Kufstein Tirol Bildungs GmbH;Kufstein University of Applied Sciences;AT;University of applied sciences;1733,25;a
FH OÖ Studienbetriebs GmbH;University of Applied Sciences Upper Austria;AT;University of applied sciences;5728,076190476;a
Fachhochschule Campus Wien;FH Campus Wien - University of Applied Sciences;AT;University of applied sciences;5458,724242424;a
Lauder Business School;Lauder Business School;AT;University of applied sciences;354,5;a
FHG – Zentrum für Gesundheitsberufe Tirol GmbH;Health University of Applied Sciences Tyrol;AT;University of applied sciences;670,833333333;a
FFH Gesellschaft zur Erhaltung und Durchführung von Fachhochschul-Studiengängen mbH;Ferdinand Porsche Fern FH-Studiengänge;AT;University of applied sciences;665,233333333;a
FHWien der WKW;University of Applied Sciences for Management & Communication;AT;University of applied sciences;3218,412301587;a
Fachhochschule Vorarlberg GmbH;Vorarlberg University of Applied Sciences;AT;University of applied sciences;1403,5;a
Fachhochschule Technikum Wien;University of Applied Sciences Technikum Vienna;AT;University of applied sciences;4130,30952381;a
IMC Fachhochschule Krems GmbH;IMC University of Applied Sciences Krems;AT;University of applied sciences;2645,920634921;a
Fachhochschule Wiener Neustadt für Wirtschaft und Technik GmbH;University of Applied Sciences Wiener Neustadt for Business and Engineering;AT;University of applied sciences;3578,2;a
Fachhochschule Kärnten;Carinthia University of Applied Sciences;AT;University of applied sciences;2376,878571429;a
FH JOANNEUM Gesellschaft mbH;University of Applied Sciences Joanneum;AT;University of applied sciences;4210,695238095;a
Danube Private University;Danube Private University;AT;Private university;1091,333333333;a
FH Gesundheitsberufe Oberösterreich;University of Applied Sciences for Health Professions Upper Austria;AT;University of applied sciences;796,333333333;a
Karl Landsteiner Privatuniversität für Gesundheitswissenschaften;Karl Landsteiner University of Health Sciences;AT;Private university;119,583333333;a
Université de Namur;University of Namur;BE;University;m;m
Université Saint-Louis - Bruxelles;;BE;University;m;m
Université catholique de Louvain;UCLouvain;BE;University;m;m
Université de Liège;University of Liège;BE;University;m;m
Université de Mons;University of Mons;BE;University;m;m
Université libre de Bruxelles;ULB;BE;University;m;m
Haute Ecole ICHEC - ECAM - ISFSC;ICHEC Brussels Management School - ECAM Business Engineering school - ISFSC;BE;University college;m;m
Haute Ecole Albert Jacquard;Haute Ecole Albert Jacquard;BE;University college;m;m
Haute Ecole Charlemagne;;BE;University college;m;m
Haute Ecole en Hainaut;;BE;University college;m;m
Haute Ecole Robert Schuman;;BE;University college;m;m
Haute Ecole de la Province de Liège;;BE;University college;m;m
Haute Ecole de la Province de Namur;University College of the Province of Namur;BE;University college;m;m
Haute Ecole de la Ville de Liège;;BE;University college;m;m
Haute Ecole Ephec;EPHEC University College;BE;University college;m;m
Haute Ecole Francisco Ferrer;;BE;University college;m;m
Haute Ecole Galilée;;BE;University college;m;m
Haute Ecole Léonard de Vinci;;BE;University college;m;m
Haute Ecole Libre de Bruxelles Ilya Prigogine;;BE;University college;m;m
Haute Ecole Libre Mosane;HELMo University College;BE;University college;m;m
Haute Ecole Louvain en Hainaut;;BE;University college;m;m
Haute Ecole Lucia de Brouckère;;BE;University college;m;m
Haute Ecole Provinciale du Hainaut - Condorcet;HEPH-Condorcet;BE;University college;m;m
Académie des Beaux-Arts de la ville de Tournai;;BE;Arts college;m;m
Académie royale des Beaux-Arts de la Ville de Bruxelles - École supérieure des Arts;Royal Academy of fine-Arts of Brussels;BE;Arts college;m;m
Ecole supérieure des Arts de la Ville de Liège;;BE;Arts college;m;m
Conservatoire royal de musique de Bruxelles;Royal Conservatoire of Brussels;BE;Arts college;m;m
Conservatoire royal de musique de Liège;Conservatoire royal de Liège;BE;Arts college;m;m
Ecole supérieure des Arts du Cirque;Superior School of Circus Arts;BE;Arts college;m;m
Ecole supérieure des Arts - École de Recherche graphique;;BE;Arts college;m;m
Ecole nationale supérieure des Arts visuels de La Cambre;La Cambre;BE;Arts college;m;m
"Ecole supérieure des Arts de l'Image LE 75";;BE;Arts college;m;m
Ecole supérieure des Arts Saint-Luc de Liège;ESA Saint-Luc Liège;BE;Arts college;m;m
Ecole supérieure des Arts Institut Saint-Luc Tournai;;BE;Arts college;m;m
Institut des Arts de Diffusion;;BE;Arts college;m;m
Institut national supérieur des Arts du Spectacle et des Techniques de Diffusion;;BE;Arts college;m;m
Institut supérieur de Musique et de Pédagogie;;BE;Arts college;m;m
Katholieke Universiteit Leuven;KU Leuven;BE;University;44362;5035
Transnationale Universiteit Limburg;Transnational University Limburg;BE;University;1547;140
Universiteit Hasselt;Hasselt University;BE;University;3846;300
Universiteit Antwerpen;University of Antwerp;BE;University;15926;1493
Universiteit Gent;Ghent University;BE;University;35261;3840
Vrije Universiteit Brussel;The Vrije Universiteit Brussel;BE;University;11062;1449
Arteveldehogeschool;University college Arteveldehogeschool;BE;University College/University of Applied Science;12325;a
Erasmushogeschool Brussel;Erasmus University College Brussels;BE;University College/University of Applied Science;5374;a
Hogere Zeevaartschool;Antwerp maritime academy;BE;University College/University of Applied Science;586;a
Hogeschool Gent;University College Ghent;BE;University College/University of Applied Science;13159;a
Hogeschool West-Vlaanderen;Howest, University College West Vlaanderen;BE;University College/University of Applied Science;5388;a
LUCA School of Arts;LUCA School of Arts;BE;University College/University of Applied Science;3029;a
Karel de Grote-Hogeschool - Katholieke Hogeschool Antwerpen;Karel de Grote University College;BE;University College/University of Applied Science;11812;a
Katholieke Hogeschool Vives Noord;Catholic University College Vives Noord;BE;University College/University of Applied Science;3405;a
Thomas More Kempen;Thomas More Kempen;BE;University College/University of Applied Science;7414;a
UC Leuven;UC Leuven;BE;University College/University of Applied Science;8375;a
UC Limburg;UC Limburg;BE;University College/University of Applied Science;4655;a
Katholieke Hogeschool Vives Zuid;Catholic University College Vives Zuid;BE;University College/University of Applied Science;8310;a
Haute Ecole de Namur-Liège-Luxembourg;University College of Namur - Liège - Luxembourg;BE;University college;m;m
Arts²;Arts² Academy of Arts;BE;Arts college;m;m
ODISEE;ODISEE;BE;University College/University of Applied Science;9549;a
AP Hogeschool Antwerpen;AP University College Antwerpen;BE;University College/University of Applied Science;10537;a
Hogeschool PXL;PXL University College;BE;University College/University of Applied Science;7434;a
Thomas More Mechelen-Antwerpen;Thomas More Mechelen-Antwerpen;BE;University College/University of Applied Science;7310;a
Ecole supérieure des Arts - Saint-Luc de Bruxelles;ESA Saint-Luc Bruxelles;BE;Arts college;m;m
Haute Ecole Bruxelles-Brabant;;BE;University college;m;m
"Югозападен университет ""Неофит Рилски""";"South-West University ""Neofit Rilski""";BG;University;9350;288
Американски университет в България;American University in Bulgaria;BG;University;990;a
Колеж по туризъм - Благоевград;Blagoevgrad College of Tourism;BG;College;568;a
Университет “Проф. д-р Асен Златаров”;Burgas Professor Assen Zlatarov University;BG;University;5216;25
Бургаски свободен университет;Burgas Free University;BG;University;1926;13
Икономически университет - Варна;University of Economics - Varna;BG;University;8597;97
Технически университет - Варна;Technical University of Varna;BG;University;5283;118
"Медицински университет ""проф. д-р Параскев Стоянов""";"Varna Medical University ""prof. dr. Paraskev Stoyanov""";BG;University;4807;190
"Варненски свободен университет ""Черноризец Храбър""";"Varna Free University ""Chernorizets Hrabar""";BG;University;6177;143
"Висше военноморско училище ""Н. Й. Вапцаров""";Nikola Vaptsarov Naval Academy’;BG;University;3092;30
"Великотърновски университет ""Св. св. Кирил и Методий""";St. Cyril and St. Methodius University of Veliko Tarnovo;BG;University;9818;361
Националeн военен университет “Васил Левски;Vasil Levski National Military University;BG;University;2290;30
"Стопанска академия ""Д. А. Ценов"" - Свищов";D.A.Tsenov Academy of Economics;BG;University;8478;131
Технически университет - Габрово;Technical University of Gabrovo;BG;University;c;c
Висше училище по мениджмънт;Varna University of Management;BG;College;382;a
Медицински университет - Плевен;Medical University - Pleven;BG;University;2179;58
"Пловдивски университет ""Паисий Хилендарски""";Paisii Hilendarski University of Plovdiv;BG;University;16545;235
Университетът по хранителни технологии;University of Food Technologies – Plovdiv;BG;University;c;c
Аграрен университет – Пловдив;Agricultural University – Plovdiv;BG;University;3235;37
Медицински университет - Пловдив;Medical University of Plovdiv;BG;University;6024;109
Академия за музикално, танцово и изобразително изкуство;Academy of Music, Dance and Fine Arts;BG;University;810;45
Висше училище по агробизнес и развитие на регионите;University of Agribusiness and Rural Development;BG;University;4484;a
Висше училище по сигурност и икономика;University of Security and Economics;BG;College;1874;a
Европейско висше училище по икономика и мениджмънт;European Higher School of Economics and Management;BG;College;1816;a
"Русенски университет ""Ангел Кънчев""";Angel Kanchev University of Ruse;BG;University;7626;154
"Софийски университет ""Св. Климент Охридски""";Sofia University St. Kliment Ohridski;BG;University;22549;1036
Университет за национално и световно стопанство;University of National and World Economy;BG;University;21984;411
Университет по архитектура, строителство и геодезия;University of Architecture, Civil Engineering and Geodesy;BG;University;3306;105
Технически Университет - София;Technical University of Sofia;BG;University;12481;423
Химикотехнологичен и металургичен университет;University of Chemical Technology and Metallurgy;BG;University;2978;135
