uni1,uni2,weight
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI CAGLIARI,136
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,136
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI PERUGIA,135
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI PALERMO,135
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI VERONA,135
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI SALERNO,135
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI FIRENZE,134
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI FIRENZE,134
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI MILANO,134
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI TORINO,133
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI PAVIA,133
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,133
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI FIRENZE,133
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,132
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI SALERNO,132
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,132
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI FIRENZE,131
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,130
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI VERONA,130
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI PALERMO,129
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,128
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,127
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,126
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,125
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI FIRENZE,125
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI GENOVA,125
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,124
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA CATTOLICA DEL SACRO CUORE,123
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI FIRENZE,123
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI MILANO,122
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI MILANO,122
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI MILANO,121
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI MILANO,121
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI FIRENZE,121
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI PADOVA,121
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI TORINO,121
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,120
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI FIRENZE,120
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI SIENA,120
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI MILANO,119
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI TRIESTE,119
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI SALERNO,119
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI ROMA TRE,119
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI VERONA,118
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI MILANO,118
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI CATANIA,118
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,118
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI TORINO,117
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI TRIESTE,117
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI PERUGIA,116
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA CATTOLICA DEL SACRO CUORE,116
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI FIRENZE,116
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI DI FIRENZE,116
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,116
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI TORINO,116
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI PAVIA,116
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI PALERMO,116
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI FIRENZE,115
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA DEGLI STUDI DI FIRENZE,115
UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,UNIVERSITA DEGLI STUDI DI FIRENZE,115
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI FERRARA,115
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI PERUGIA,115
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA DEGLI STUDI DI MILANO,115
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI PARMA,115
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI CATANIA,114
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI FIRENZE,114
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA DEGLI STUDI DI MILANO,114
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,114
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI FERRARA,113
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI PARMA,112
UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,UNIVERSITA DEGLI STUDI DI MILANO,112
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI TRIESTE,111
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,111
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI ROMA TRE,110
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,UNIVERSITA DEGLI STUDI DI MILANO,110
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI MILANO,110
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,UNIVERSITA DEGLI STUDI DI FIRENZE,110
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI GENOVA,110
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,109
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI GENOVA,109
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,108
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI FIRENZE,108
UNIVERSITA CATTOLICA DEL SACRO CUORE,UNIVERSITA DEGLI STUDI DI FIRENZE,108
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI FERRARA,108
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI TORINO,108
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,107
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI MILANO,107
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI PALERMO,106
