uni1,uni2,weight
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,UNIVERSITA PER STRANIERI DI SIENA,13
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,LIBERA UNIVERSITA MARIA SS ASSUNTA,13
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,LIBERA UNIVERSITA MARIA SS ASSUNTA,13
UNIVERSITA DEGLI STUDI ROMA TRE,LIBERA UNIVERSITA MARIA SS ASSUNTA,13
UNIVERSITA DEGLI STUDI DI TRIESTE,LIBERA UNIVERSITA MARIA SS ASSUNTA,13
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,LIBERA UNIVERSITA MARIA SS ASSUNTA,13
UNIVERSITA DEGLI STUDI DI PALERMO,LIBERA UNIVERSITA MARIA SS ASSUNTA,13
UNIVERSITA DI PISA,LIBERA UNIVERSITA MARIA SS ASSUNTA,13
UNIVERSITA DEGLI STUDI SUOR ORSOLA BENINCASA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,13
UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,13
POLITECNICO DI TORINO,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,13
UNIVERSITA DELLA CALABRIA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,13
UNIVERSITA DEGLI STUDI DI BRESCIA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,13
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA  DEGLI STUDI DI VERONA,13
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITA  DEGLI STUDI DI VERONA,13
UNIVERSITA DEGLI STUDI DI SALERNO,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,13
UNIVERSITA DEGLI STUDI DI PAVIA,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,13
UNIVERSITA DI PISA,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,13
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,13
UNIVERSITA DEGLI STUDI DI PALERMO,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,13
UNIVERSITA DEGLI STUDI DI FIRENZE,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,13
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA CAMPUS BIO MEDICO DI ROMA,12
UNIVERSITA DEGLI STUDI DI UDINE,LIBERA UNIVERSITA MARIA SS ASSUNTA,12
UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,LIBERA UNIVERSITA MARIA SS ASSUNTA,12
UNIVERSITA DEGLI STUDI DI VERONA,LIBERA UNIVERSITA MARIA SS ASSUNTA,12
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,12
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,12
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,12
UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,12
UNIVERSITA DEGLI STUDI DELLAQUILA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,12
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA  DEGLI STUDI DI VERONA,12
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA  DEGLI STUDI DI VERONA,12
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,12
UNIVERSITA DEGLI STUDI DI PERUGIA,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,12
UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITA PER STRANIERI DI SIENA,12
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI ENNA KORE,12
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,UNIVERSITA DEGLI STUDI DI ENNA KORE,12
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI ENNA KORE,12
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI ENNA KORE,12
UNIVERSITA DEGLI STUDI DI FIRENZE,UNIVERSITA DEGLI STUDI DI ENNA KORE,12
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE,12
UNIVERSITA PER STRANIERI DI PERUGIA,UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE,12
UNIVERSITA DEGLI STUDI DI CAMERINO,UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE,12
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,12
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI MILANO,12
UNIVERSITA DEGLI STUDI DI CAMERINO,UNIVERSITA DEL SALENTO,12
UNIVERSITA IUAV DI VENEZIA,UNIVERSITA DEL SALENTO,12
UNIVERSITA DEGLI STUDI DI TERAMO,UNIVERSITA DEGLI STUDI DI BRESCIA,12
UNIVERSITA DEGLI STUDI DI BERGAMO,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE,12
UNIVERSITA DEGLI STUDI DI PERUGIA,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE,12
UNIVERSITA DEGLI STUDI DI PARMA,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE,12
UNIVERSITA DEGLI STUDI DI TRIESTE,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE,12
UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE,12
UNIVERSITA DEGLI STUDI NICCOLO CUSANO TELEMATICA ROMA,UNIVERSITA DEGLI STUDI DI TRENTO,12
UNIVERSITA DEGLI STUDI NICCOLO CUSANO TELEMATICA ROMA,UNIVERSITA DEGLI STUDI DI PADOVA,12
POLITECNICO DI BARI,UNIVERSITA DEGLI STUDI DELLA TUSCIA,12
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,12
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,12
UNIVERSITA IUAV DI VENEZIA,UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,12
UNIVERSITA DEGLI STUDI DI TORINO,SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CIELS,12
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,UNIVERSITA DEGLI STUDI DI VERONA,12
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,12
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,12
POLITECNICO DI MILANO,UNIVERSITA PER STRANIERI DI PERUGIA,12
UNIVERSITA IUAV DI VENEZIA,ACCADEMIA DI BELLE ARTI DI BOLOGNA,12
UNIVERSITA DEGLI STUDI DI CAGLIARI,ACCADEMIA DI BELLE ARTI DI BOLOGNA,12
UNIVERSITA DEGLI STUDI DI TORINO,ACCADEMIA DI BELLE ARTI DI BOLOGNA,12
UNIVERSITA DEGLI STUDI DI PARMA,ACCADEMIA DI BELLE ARTI DI BOLOGNA,12
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI SALERNO,12
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,UNIVERSITA DEGLI STUDI DI SALERNO,12
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,UNIVERSITA DEGLI STUDI DI SALERNO,12
UNIVERSITA DEGLI STUDI DEL MOLISE,UNIVERSITA DEGLI STUDI DI UDINE,12
POLITECNICO DI TORINO,UNIVERSITA DEGLI STUDI DI CAMERINO,12
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DI CAMERINO,12
UNIVERSITA DEGLI STUDI DELLA TUSCIA,UNIVERSITA DEGLI STUDI DI CAMERINO,12
UNIVERSITA VITASALUTE SAN RAFFAELE,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,12
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,12
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,UNIVERSITA CATTOLICA DEL SACRO CUORE,12
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,UNIVERSITA CATTOLICA DEL SACRO CUORE,12
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,12
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CIELS,UNIVERSITA DEGLI STUDI DI FIRENZE,12
UNIVERSITA VITASALUTE SAN RAFFAELE,UNIVERSITA DEGLI STUDI DI FERRARA,12
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,UNIVERSITA DEGLI STUDI DELLA BASILICATA,12
POLITECNICO DI TORINO,UNIVERSITA PER STRANIERI DI SIENA,12
UNIVERSITA DEGLI STUDI DELLAQUILA,UNIVERSITA PER STRANIERI DI SIENA,12
UNIVERSITA COMMERCIALE LUIGI BOCCONI,UNIVERSITA PER STRANIERI DI SIENA,12
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,UNIVERSITA DEGLI STUDI DI MACERATA,12
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,UNIVERSITA DEGLI STUDI DI MACERATA,12
UNIVERSITA DEGLI STUDI DEL MOLISE,UNIVERSITA DEGLI STUDI DI MACERATA,12
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DEL SANNIO,12
UNIVERSITA DEGLI STUDI DI MESSINA,UNIVERSITA DEGLI STUDI DEL SANNIO,12
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DEGLI STUDI DEL SANNIO,12
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,UNIVERSITA DEGLI STUDI DI FOGGIA,12
UNIVERSITA VITASALUTE SAN RAFFAELE,UNIVERSITA DEGLI STUDI DI TRIESTE,12
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,UNIVERSITA DELLA CALABRIA,12
ACCADEMIA DI BELLE ARTI DI BRERA,UNIVERSITA DELLA CALABRIA,12
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI PERUGIA,12
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,LIBERA UNIVERSITA DI BOLZANO,12
UNIVERSITA DEGLI STUDI SUOR ORSOLA BENINCASA,UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,12
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,12
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,12
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DI TERAMO,12
UNIVERSITA DEGLI STUDI DELLINSUBRIA,UNIVERSITA DEGLI STUDI DI TERAMO,12
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,UNIVERSITA DEGLI STUDI DI TERAMO,12
UNIVERSITA DI PISA,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,12
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA CARLO CATTANEO  LIUC,12
UNIVERSITA CARLO CATTANEO  LIUC,UNIVERSITA DEGLI STUDI DI PALERMO,12
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,12
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI GENOVA,12
POLITECNICO DI BARI,LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,12
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,12
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,UNIVERSITA DEGLI STUDI DI CATANIA,12
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,UNIVERSITA DEGLI STUDI DI MESSINA,12
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA VITASALUTE SAN RAFFAELE,12
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA VITASALUTE SAN RAFFAELE,12
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA VITASALUTE SAN RAFFAELE,12
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA VITASALUTE SAN RAFFAELE,12
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA VITASALUTE SAN RAFFAELE,12
LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,ACCADEMIA DI BELLE ARTI DI BRERA,12
UNIVERSITA DEGLI STUDI DI PARMA,UNIVERSITA COMMERCIALE LUIGI BOCCONI,12
UNIVERSITA PER STRANIERI DI PERUGIA,UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,12
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,UNIVERSITA DEGLI STUDI DI SIENA,12
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,11
UNIVERSITA DEGLI STUDI NICCOLO CUSANO TELEMATICA ROMA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,11
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CIELS,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,11
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA CARLO CATTANEO  LIUC,11
SCUOLA SUPERIORE PER MEDIATORI LINGUISTICI CIELS,UNIVERSITA DEGLI STUDI DI PALERMO,11
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI PALERMO,11
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,11
UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,11
UNIVERSITA CARLO CATTANEO  LIUC,LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,11
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,UNIVERSITA DEGLI STUDI DI CATANIA,11
UNIVERSITA CARLO CATTANEO  LIUC,UNIVERSITA DEGLI STUDI DI CATANIA,11
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,UNIVERSITA DEGLI STUDI DI MESSINA,11
POLITECNICO DI BARI,UNIVERSITA DEGLI STUDI DELLINSUBRIA,11
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,UNIVERSITA DEGLI STUDI DELLINSUBRIA,11
UNIVERSITA DEGLI STUDI DELLAQUILA,UNIVERSITA DEGLI STUDI DELLINSUBRIA,11
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,UNIVERSITA DEGLI STUDI DELLINSUBRIA,11
UNIVERSITA CA FOSCARI VENEZIA,ACCADEMIA DI BELLE ARTI DI BRERA,11
UNIVERSITA DEGLI STUDI DI URBINO CARLO BO,ACCADEMIA DI BELLE ARTI DI BRERA,11
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI SIENA,11
UNIVERSITA DEGLI STUDI DI MILANOBICOCCA,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE,11
UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE,11
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA CAMPUS BIO MEDICO DI ROMA,11
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,LIBERA UNIVERSITA MARIA SS ASSUNTA,11
LIBERA UNIVERSITA MARIA SS ASSUNTA DI ROMA,LIBERA UNIVERSITA MARIA SS ASSUNTA,11
UNIVERSITA DEGLI STUDI DI TRENTO,LIBERA UNIVERSITA MARIA SS ASSUNTA,11
UNIVERSITA CA FOSCARI VENEZIA,LIBERA UNIVERSITA MARIA SS ASSUNTA,11
UNIVERSITA DI PISA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA DEGLI STUDI DI SIENA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITÀ DEGLI STUDI DI NAPOLI LORIENTALE,11
UNIVERSITA DEGLI STUDI DI MACERATA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,11
UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,11
UNIVERSITA DEL SALENTO,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,11
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,11
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA  DEGLI STUDI DI VERONA,11
UNIVERSITA DEGLI STUDI DI PERUGIA,UNIVERSITA  DEGLI STUDI DI VERONA,11
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA  DEGLI STUDI DI VERONA,11
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA  DEGLI STUDI DI VERONA,11
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA  DEGLI STUDI DI VERONA,11
UNIVERSITA DEGLI STUDI DI FERRARA,UNIVERSITA  DEGLI STUDI DI VERONA,11
UNIVERSITA DEGLI STUDI DI CATANIA,UNIVERSITA  DEGLI STUDI DI VERONA,11
UNIVERSITA DEGLI STUDI DI TORINO,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,11
UNIVERSITA DEGLI STUDI DI PARMA,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,11
UNIVERSITA DEGLI STUDI ROMA TRE,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,11
UNIVERSITA DEGLI STUDI DI GENOVA,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,11
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,11
UNIVERSITA DEGLI STUDI DI MILANO,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,11
UNIVERSITA DEGLI STUDI DI SIENA,SECONDA UNIVERSITÀ DEGLI STUDI DI NAPOLI,11
UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,11
UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,11
UNIVERSITA DEGLI STUDI DI ENNA KORE,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,11
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,11
UNIVERSITA DEGLI STUDI DELLA BASILICATA,UNIVERSITA DEGLI STUDI DI MODENA E REGGIO EMILIA,11
ACCADEMIA DI BELLE ARTI DI BRERA,ACCADEMIA DI BELLE ARTI DE ROMA,11
UNIVERSITA DEGLI STUDI DI PADOVA,ACCADEMIA DI BELLE ARTI DI PALERMO,11
ALMA MATER STUDIORUM  UNIVERSITA DI BOLOGNA,ACCADEMIA DI BELLE ARTI DI PALERMO,11
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,ACCADEMIA DI BELLE ARTI DI PALERMO,11
UNIVERSITA DEGLI STUDI DI GENOVA,ACCADEMIA DI BELLE ARTI DI PALERMO,11
ACCADEMIA DI BELLE ARTI DI BRERA,ACCADEMIA DI BELLE ARTI DI PALERMO,11
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA DEGLI STUDI DI ENNA KORE,11
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI DI ENNA KORE,11
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI DI ENNA KORE,11
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI ENNA KORE,11
UNIVERSITA DEGLI STUDI DI PALERMO,UNIVERSITA DEGLI STUDI DI ENNA KORE,11
UNIVERSITA DEGLI STUDI DI GENOVA,UNIVERSITA DEGLI STUDI DI ENNA KORE,11
UNIVERSITA DEGLI STUDI DI FERRARA,UNIVERSITA DEGLI STUDI DI ENNA KORE,11
UNIVERSITA IUAV DI VENEZIA,UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE,11
UNIVERSITA DEGLI STUDI DEL MOLISE,UNIVERSITA DEGLI STUDI DI NAPOLI PARTHENOPE,11
LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,UNIVERSITA DEGLI STUDI GABRIELE DANNUNZIO DI CHIETIPESCARA,11
ACCADEMIA DI BELLE ARTI DI BRERA,UNIVERSITA DEL SALENTO,11
UNIVERSITA DEGLI STUDI DEL SANNIO,UNIVERSITA DEL SALENTO,11
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,UNIVERSITA DEGLI STUDI DI BRESCIA,11
UNIVERSITA DEGLI STUDI DEL SANNIO,UNIVERSITA DEGLI STUDI DI BRESCIA,11
UNIVERSITA PER STRANIERI DI SIENA,UNIVERSITA DEGLI STUDI DI BRESCIA,11
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,UNIVERSITA DEGLI STUDI DI BRESCIA,11
UNIVERSITA DEGLI STUDI DELLINSUBRIA,UNIVERSITA DEGLI STUDI DI BRESCIA,11
UNIVERSITA DEGLI STUDI DELLA TUSCIA,UNIVERSITA DEGLI STUDI DEL SANNIO,11
UNIVERSITA DEGLI STUDI DI NAPOLI LORIENTALE,UNIVERSITA DEGLI STUDI DEL SANNIO,11
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DEL SANNIO,11
UNIVERSITA DEGLI STUDI DEL SANNIO,UNIVERSITA DEGLI STUDI DI FOGGIA,11
ACCADEMIA DI BELLE ARTI DI BOLOGNA,UNIVERSITA DEGLI STUDI DI TRIESTE,11
UNIVERSITA DEGLI STUDI MAGNA GRAECIA DI CATANZARO,UNIVERSITA DEGLI STUDI DI TRIESTE,11
ACCADEMIA DI BELLE ARTI DI BRERA,ACCADEMIA ALBERTINA DELLE BELLE ARTI,11
UNIVERSITA DEGLI STUDI DELLINSUBRIA,UNIVERSITA DELLA CALABRIA,11
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,UNIVERSITA DELLA CALABRIA,11
UNIVERSITA COMMERCIALE LUIGI BOCCONI,UNIVERSITA DELLA CALABRIA,11
UNIVERSITA VITASALUTE SAN RAFFAELE,UNIVERSITA DEGLI STUDI DI PERUGIA,11
UNIVERSITA DEGLI STUDI DI SASSARI,LIBERA UNIVERSITA DI BOLZANO,11
UNIVERSITA DEGLI STUDI DELLA TUSCIA,UNIVERSITA DEGLI STUDI INTERNAZIONALI DI ROMA,11
POLITECNICO DI TORINO,UNIVERSITA DEGLI STUDI DI TERAMO,11
UNIVERSITA DEGLI STUDI DI SASSARI,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,11
UNIVERSITA DEGLI STUDI DI SALERNO,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,11
UNIVERSITA DEGLI STUDI DI PAVIA,LIBERA UNIVERSITA DI LINGUE E COMUNICAZIONE IULM,11
POLITECNICO DI BARI,UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,11
UNIVERSITA IUAV DI VENEZIA,UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,11
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,POLITECNICO DI TORINO,11
UNIVERSITA POLITECNICA DELLE MARCHE,UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,11
POLITECNICO DI TORINO,UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,11
UNIVERSITA DEGLI STUDI DI SASSARI,UNIVERSITA DEGLI STUDI MEDITERRANEA DI REGGIO CALABRIA,11
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA DEGLI STUDI DEL MOLISE,11
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,UNIVERSITA DEGLI STUDI DEL MOLISE,11
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI ROMA FORO ITALICO,11
UNIVERSITA DEGLI STUDI DI BERGAMO,UNIVERSITA PER STRANIERI DI PERUGIA,11
UNIVERSITA DI PISA,ACCADEMIA DI BELLE ARTI DI BOLOGNA,11
UNIVERSITA DEGLI STUDI DELLA CAMPANIA LUIGI VANVITELLI,ACCADEMIA DI BELLE ARTI DI BOLOGNA,11
UNIVERSITA DEGLI STUDI DI TRENTO,ACCADEMIA DI BELLE ARTI DI BOLOGNA,11
LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI,UNIVERSITA DEGLI STUDI SUOR ORSOLA BENINCASA,11
UNIVERSITA DEGLI STUDI DEL PIEMONTE ORIENTALE AMEDEO AVOGADRO,UNIVERSITA DEGLI STUDI SUOR ORSOLA BENINCASA,11
UNIVERSITA DEGLI STUDI DI CASSINO E DEL LAZIO MERIDIONALE,UNIVERSITA DEGLI STUDI SUOR ORSOLA BENINCASA,11
ACCADEMIA DI BELLE ARTI DI BRERA,UNIVERSITA DEGLI STUDI DI UDINE,11
